"internal_taxon_id","Name_submitted","family","genus","species.correct","taxon.rank","life.form.reflora","habitat.reflora","vegetation.type.reflora","ordem.spp","establishment","habito","life.form","MaxHeight","GF","wsg","ecol.group","SeedMass_g","dispersal.syndrome","str.match","GL","DBH","p.est","p.ci","N","dbh.crit","p"
"sp306","Baccharis cognata","Asteraceae","Baccharis","Baccharis cognata","species","Arbusto|Subarbusto","Rupícola|Terrícola","Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos",306,"native","shrub","Woody tree (Shrub or treelet)",4.8,"large_shrub",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp307","Baccharis dentata","Asteraceae","Baccharis","Baccharis dentata","species","Arbusto","Rupícola|Terrícola","Campo de Altitude|Campo Limpo|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Vegetação Sobre Afloramentos Rochosos",307,"native","tree","Woody tree (Tree or shrub)",6.85,"small_tree",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp308","Baccharis dracunculifolia","Asteraceae","Baccharis","Baccharis dracunculifolia","species","Arbusto","Rupícola|Terrícola","Área Antrópica|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga|Vegetação Sobre Afloramentos Rochosos",308,"native","tree","Woody tree (Tree or shrub)",8.784,"small_tree",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp309","Baccharis glaziovii","Asteraceae","Baccharis","Baccharis glaziovii","species","Arbusto","Rupícola|Terrícola","Campo de Altitude|Campo Limpo|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Vegetação Sobre Afloramentos Rochosos",309,"native","shrub","Woody tree (Shrub or treelet)",3.8,"large_shrub",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp310","Baccharis grandimucronata","Asteraceae","Baccharis","Baccharis grandimucronata","species","Arbusto","Rupícola|Terrícola","Campo de Altitude|Vegetação Sobre Afloramentos Rochosos",310,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp311","Baccharis intermixta","Asteraceae","Baccharis","Baccharis intermixta","species","Arbusto","Rupícola|Terrícola","Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Vegetação Sobre Afloramentos Rochosos",311,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_large_shrub",10,5,1,"0.99-1.1",NA,NA,NA
"sp312","Baccharis lateralis","Asteraceae","Baccharis","Baccharis lateralis","species","Arbusto","Rupícola|Terrícola","Campo de Altitude|Vegetação Sobre Afloramentos Rochosos",312,"native","shrub","Woody tree (Shrub or treelet)",6.32,"small_tree",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp313","Baccharis leucocephala","Asteraceae","Baccharis","Baccharis leucocephala","species","Arbusto|Subarbusto","Terrícola","Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",313,"native","shrub","Woody tree (Shrub or treelet)",3.5,"large_shrub",0.482333333333333,"early_secondary",0.000170266666666667,"anemochoric","early_secondary_large_shrub",20,5,1,"0.975-1.075",NA,NA,NA
"sp314","Baccharis ligustrina","Asteraceae","Baccharis","Baccharis ligustrina","species","Arbusto","Rupícola|Terrícola","Campo rupestre|Cerrado (lato sensu)",314,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp315","Baccharis linearifolia","Asteraceae","Baccharis","Baccharis linearifolia","species","Arbusto|Subarbusto","Rupícola|Terrícola","Caatinga (stricto sensu)|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Restinga|Savana Amazônica|Vegetação Sobre Afloramentos Rochosos",315,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp316","Baccharis longiattenuata","Asteraceae","Baccharis","Baccharis longiattenuata","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Restinga",316,"native","tree","Woody tree (Tree or shrub)",5,"small_tree",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp317","Baccharis lychnophora","Asteraceae","Baccharis","Baccharis lychnophora","species","Arbusto","Rupícola|Terrícola","Campo rupestre|Floresta Ciliar ou Galeria",317,"native","shrub","Woody tree (Tree or shrub)",5,"small_tree",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp318","Baccharis lymanii","Asteraceae","Baccharis","Baccharis lymanii","species","Arbusto|Subarbusto","Rupícola|Terrícola","Campo de Altitude|Vegetação Sobre Afloramentos Rochosos",318,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_large_shrub",10,5,1,"0.99-1.1",NA,NA,NA
"sp319","Baccharis macrophylla","Asteraceae","Baccharis","Baccharis macrophylla","species","Arbusto|Subarbusto","Rupícola|Terrícola","Campo de Altitude|Vegetação Sobre Afloramentos Rochosos",319,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp320","Baccharis mesoneura","Asteraceae","Baccharis","Baccharis mesoneura","species","Arbusto|Subarbusto","Rupícola|Terrícola","Campo de Altitude|Vegetação Sobre Afloramentos Rochosos",320,"native","shrub","Woody tree (Shrub or treelet)",6.5,"small_tree",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp321","Baccharis microdonta","Asteraceae","Baccharis","Baccharis microdonta","species","Arbusto","Rupícola|Terrícola","Área Antrópica|Campo de Altitude|Campo Limpo|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga|Vegetação Sobre Afloramentos Rochosos",321,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_large_shrub",10,5,1,"0.99-1.1",NA,NA,NA
"sp322","Baccharis montana","Asteraceae","Baccharis","Baccharis montana","species","Arbusto|Árvore","Rupícola|Terrícola","Área Antrópica|Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga|Vegetação Sobre Afloramentos Rochosos",322,"native","tree","Woody tree (Shrub or treelet)",6,"small_tree",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp323","Baccharis oblongifolia","Asteraceae","Baccharis","Baccharis oblongifolia","species","Arbusto|Subarbusto","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",323,"native","shrub","Woody tree (Shrub or treelet)",17.4,"small_tree",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp324","Baccharis oreophila","Asteraceae","Baccharis","Baccharis oreophila","species","Arbusto|Árvore","Rupícola|Terrícola","Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Vegetação Sobre Afloramentos Rochosos",324,"native","tree","Woody tree (Tree or shrub)",15.2,"large_tree",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_large_tree",30,10,0.5931,"0.5224-0.6637",NA,NA,NA
"sp325","Baccharis platypoda","Asteraceae","Baccharis","Baccharis platypoda","species","Arbusto|Subarbusto","Rupícola|Terrícola","Campo de Altitude|Campo Limpo|Campo rupestre|Restinga|Vegetação Sobre Afloramentos Rochosos",325,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp326","Baccharis pseudomyriocephala","Asteraceae","Baccharis","Baccharis pseudomyriocephala","species","Arbusto","Rupícola|Terrícola","Campo de Altitude|Vegetação Sobre Afloramentos Rochosos",326,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp327","Baccharis pseudovaccinioides","Asteraceae","Baccharis","Baccharis pseudovaccinioides","species","Arbusto|Árvore","Rupícola|Terrícola","Campo de Altitude|Vegetação Sobre Afloramentos Rochosos",327,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.482333333333333,"unknown",2e-04,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp328","Baccharis psiadioides","Asteraceae","Baccharis","Baccharis psiadioides","species","Arbusto","Rupícola|Terrícola","Campo de Altitude|Campo Limpo|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga|Vegetação Sobre Afloramentos Rochosos",328,"native","shrub","Woody tree (Shrub or treelet)",3.5,"large_shrub",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp329","Baccharis punctulata","Asteraceae","Baccharis","Baccharis punctulata","species","Arbusto|Subarbusto","Rupícola|Terrícola","Área Antrópica|Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Vegetação Sobre Afloramentos Rochosos",329,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_large_shrub",10,5,1,"0.99-1.1",NA,NA,NA
"sp330","Baccharis regnellii","Asteraceae","Baccharis","Baccharis regnellii","species","Arbusto","Rupícola|Terrícola","Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Ombrófila Mista|Vegetação Sobre Afloramentos Rochosos",330,"native","shrub","Woody tree (Shrub or treelet)",3.9,"large_shrub",0.482333333333333,"early_secondary",0.000170266666666667,"anemochoric","early_secondary_large_shrub",20,5,1,"0.975-1.075",NA,NA,NA
"sp331","Baccharis retusa","Asteraceae","Baccharis","Baccharis retusa","species","Arbusto","Rupícola|Terrícola","Campo de Altitude|Campo rupestre|Cerrado (lato sensu)",331,"native","shrub","Woody tree (Tree or shrub)",7,"small_tree",0.44,"unknown",0.000170266666666667,"anemochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp332","Baccharis salicifolia","Asteraceae","Baccharis","Baccharis salicifolia","species","Arbusto","Rupícola|Terrícola","Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos",332,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.561,"unknown",1e-04,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp333","Baccharis semiserrata","Asteraceae","Baccharis","Baccharis semiserrata","species","Arbusto|Árvore","Terrícola","Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",333,"native","tree","Woody tree (Shrub or treelet)",20.4,"small_tree",0.446,"pioneer",0.000170266666666667,"anemochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp334","Baccharis serrulata","Asteraceae","Baccharis","Baccharis serrulata","species","Subarbusto","Rupícola|Terrícola","Área Antrópica|Caatinga (stricto sensu)|Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Sobre Afloramentos Rochosos",334,"native","shrub","Woody tree (Tree or shrub)",14.2,"small_tree",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp335","Baccharis singularis","Asteraceae","Baccharis","Baccharis singularis","species","Arbusto","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Sobre Afloramentos Rochosos",335,"native","tree","Woody tree (Tree or shrub)",5.7,"small_tree",0.482333333333333,"early_secondary",0.000170266666666667,"anemochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
"sp336","Baccharis tridentata","Asteraceae","Baccharis","Baccharis tridentata","species","Subarbusto","Rupícola|Terrícola","Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos",336,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp337","Baccharis uncinella","Asteraceae","Baccharis","Baccharis uncinella","species","Arbusto","Rupícola|Terrícola","Campo de Altitude|Floresta Ombrófila Mista",337,"native","shrub","Woody tree (Shrub or treelet)",3,"large_shrub",0.482333333333333,"pioneer",0.000170266666666667,"anemochoric","pioneer_large_shrub",10,5,1,"0.99-1.1",NA,NA,NA
"sp338","Baccharis urvilleana","Asteraceae","Baccharis","Baccharis urvilleana","species","Arbusto","Terrícola","Restinga",338,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.482333333333333,"unknown",0.000170266666666667,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp339","Bactris acanthocarpa","Arecaceae","Bactris","Bactris acanthocarpa","species","Palmeira",NA,NA,339,"native","shrub","Palm or palmoid",3.45,"large_shrub",1.1,"climax",0.9458575,"zoochoric","climax_large_shrub",35,5,1,"0.90-1.025",2,5,1
"sp340","Bactris ferruginea","Arecaceae","Bactris","Bactris ferruginea","species","Palmeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",340,"native","tree","Cespitose palm",10,"small_tree",1.1,"early_secondary",0.534845360886903,"zoochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",13,8,0.538461538461538
"sp341","Bactris hatschbachii","Arecaceae","Bactris","Bactris hatschbachii","species","Palmeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",341,"native","tree","Cespitose palm",6,"small_tree",1.1,"unknown",2.88152190686543,"zoochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp342","Bactris hirta","Arecaceae","Bactris","Bactris hirta","species","Palmeira","Terrícola","Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)",342,"native","shrub","Palm or palmoid",3,"large_shrub",1.1,"unknown",0.9458575,"zoochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp343","Bactris horridispatha","Arecaceae","Bactris","Bactris horridispatha","species","Palmeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",343,"native","shrub","Cespitose palm",4,"large_shrub",1.1,"unknown",0.73284467570047,"zoochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp344","Bactris setosa","Arecaceae","Bactris","Bactris setosa","species","Palmeira","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga",344,"native","tree","Cespitose palm",8.15,"small_tree",1.1,"late_secondary",1.65,"zoochoric","late_secondary_small_tree",50,9,0.4143,"0.3494-0.4792",226,9,0.00442477876106195
"sp345","Bactris simplicifrons","Arecaceae","Bactris","Bactris simplicifrons","species","Palmeira","Terrícola","Campinarana|Floresta de Terra Firme",345,"native","shrub","Palm or palmoid",NA,"large_shrub",1.1,"unknown",0.12,"zoochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp346","Bactris timbuiensis","Arecaceae","Bactris","Bactris timbuiensis","species","Palmeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",346,"native","shrub","Cespitose palm",5.45,"small_tree",1.1,"unknown",0.9458575,"zoochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp347","Bactris vulgaris","Arecaceae","Bactris","Bactris vulgaris","species","Palmeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",347,"native","shrub","Cespitose palm",6.7,"large_shrub",1.1,"early_secondary",1.21714114604439,"zoochoric","early_secondary_large_shrub",20,5,1,"0.975-1.075",3,5,1
"sp348","Balfourodendron molle","Rutaceae","Balfourodendron","Balfourodendron molle","species","Árvore","Terrícola","Caatinga (stricto sensu)",348,"native","tree","Woody tree (Tree)",12.3,"small_tree",0.687857142857143,"early_secondary",0.454081632653061,"anemochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
"sp349","Balfourodendron riedelianum","Rutaceae","Balfourodendron","Balfourodendron riedelianum","species","Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",349,"native","tree","Woody tree (Tree)",32.7,"large_tree",0.687857142857143,"early_secondary",0.454081632653061,"anemochoric","early_secondary_large_tree",50,12.5,0.4485,"0.4152-0.4817",894,12.5,0.259507829977629
"sp350","Banara brasiliensis","Salicaceae","Banara","Banara brasiliensis","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",350,"native","tree","Woody tree (Tree)",7.7,"small_tree",0.75,"early_secondary",0.005,"zoochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
"sp351","Banara guianensis","Salicaceae","Banara","Banara guianensis","species","Arbusto","Terrícola","Cerrado (lato sensu)|Floresta de Terra Firme|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial)",351,"native","tree","Woody tree (Tree)",14.1,"small_tree",0.61,"unknown",0.00221111111111111,"zoochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp352","Banara parviflora","Salicaceae","Banara","Banara parviflora","species","Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga",352,"native","tree","Woody tree (Tree)",16.8,"large_tree",0.687,"early_secondary",8e-04,"zoochoric","early_secondary_large_tree",50,12.5,0.4485,"0.4152-0.4817",NA,NA,NA
"sp353","Banara serrata","Salicaceae","Banara","Banara serrata","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",353,"native","tree","Woody tree (Tree)",13.2,"small_tree",0.687,"early_secondary",0.00221111111111111,"zoochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
"sp354","Banara tomentosa","Salicaceae","Banara","Banara tomentosa","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",354,"native","tree","Woody tree (Tree)",19.37,"large_tree",0.845,"late_secondary",0.000833333333333333,"zoochoric","late_secondary_large_tree",65,15,0.3028,"0.2736-0.3321",NA,NA,NA
"sp355","Banara trinitatis","Salicaceae","Banara","Banara trinitatis","species","Árvore","Terrícola",NA,355,"native","tree","Woody tree (Tree or shrub)",8,"small_tree",0.687,"unknown",0.00221111111111111,NA,"unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp356","Banisteriopsis malifolia","Malpighiaceae","Banisteriopsis","Banisteriopsis malifolia","species","Arbusto|Subarbusto","Terrícola","Cerrado (lato sensu)",356,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.744,"unknown",0.032575,"anemochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp357","Barnadesia caryophylla","Asteraceae","Barnadesia","Barnadesia caryophylla","species","Arbusto","Terrícola","Área Antrópica|Floresta Ombrófila (= Floresta Pluvial)",357,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.530140647804348,"unknown",NA,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp358","Barnebya dispar","Malpighiaceae","Barnebya","Barnebya dispar","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",358,"native","tree","Woody tree (Tree)",16.8,"large_tree",0.77,"early_secondary",0.588235294117647,"anemochoric","early_secondary_large_tree",50,12.5,0.4485,"0.4152-0.4817",NA,NA,NA
"sp359","Barnebya harleyi","Malpighiaceae","Barnebya","Barnebya harleyi","species","Árvore","Terrícola","Caatinga (stricto sensu)",359,"native","tree","Woody tree (Tree or shrub)",7.596,"small_tree",0.77,"unknown",0.588235294117647,"anemochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp360","Barnebydendron riedelii","Fabaceae","Barnebydendron","Barnebydendron riedelii","species","Árvore","Terrícola","Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",360,"native","tree","Woody tree (Tree)",43,"large_tree",0.85,"late_secondary",0.625,"anemochoric","late_secondary_large_tree",65,15,0.3028,"0.2736-0.3321",NA,NA,NA
"sp361","Bastardiopsis densiflora","Malvaceae","Bastardiopsis","Bastardiopsis densiflora","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",361,"native","tree","Woody tree (Tree)",20,"large_tree",0.651,"early_secondary",0.00117647058823529,"zoochoric","early_secondary_large_tree",50,12.5,0.4485,"0.4152-0.4817",7,12.5,1
"sp362","Bathysa australis","Rubiaceae","Bathysa","Bathysa australis","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",362,"native","tree","Woody tree (Tree)",17,"large_tree",0.4284672565,"early_secondary",8.49083333333333e-05,"autochoric","early_secondary_large_tree",50,12.5,0.4485,"0.4152-0.4817",1220,12.5,0.405737704918033
"sp363","Bathysa gymnocarpa","Rubiaceae","Bathysa","Bathysa gymnocarpa","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",363,"native","tree","Woody tree (Tree)",8.645,"small_tree",0.4275017008,"early_secondary",8.49083333333333e-05,"autochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
"sp364","Bathysa mendoncaei","Rubiaceae","Bathysa","Bathysa mendoncaei","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",364,"native","tree","Woody tree (Tree)",11.1,"small_tree",0.423639478,"late_secondary",8.49083333333333e-05,"autochoric","late_secondary_small_tree",50,9,0.4143,"0.3494-0.4792",103,9,0.621359223300971
"sp365","Bathysa nicholsonii","Rubiaceae","Bathysa","Bathysa nicholsonii","species","Árvore","Terrícola","Floresta Ciliar ou Galeria",365,"native","tree","Woody tree (Tree)",13,"small_tree",0.4275017008,"early_secondary",8.49083333333333e-05,"autochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",1,8,1
"sp366","Bathysa stipulata","Rubiaceae","Bathysa","Bathysa stipulata","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",366,"native","tree","Woody tree (Tree)",14.1,"small_tree",0.4275017008,"pioneer",8.49083333333333e-05,"autochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp367","Bathysa sylvestrae","Rubiaceae","Bathysa","Bathysa sylvestrae","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",367,"native","tree","Woody tree (Tree)",9,"small_tree",0.4275017008,"unknown",8.49083333333333e-05,"anemochoric","unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp368","Bauhinia acreana","Fabaceae","Bauhinia","Bauhinia acreana","species","Arbusto|Árvore",NA,"Área Antrópica|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)",368,"native","tree","Woody tree (Tree or shrub)",5,"small_tree",0.715454545454545,"unknown",0.196853100884573,NA,"unknown_small_tree",45,8,0.4669,"0.4285-0.5054",NA,NA,NA
"sp369","Bauhinia acuruana","Fabaceae","Bauhinia","Bauhinia acuruana","species","Arbusto|Subarbusto",NA,"Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual",369,"native","shrub","Woody tree (Shrub or treelet)",10.028,"large_shrub",0.715454545454545,"climax",0.196853100884573,"autochoric","climax_large_shrub",35,5,1,"0.90-1.025",NA,NA,NA
"sp370","Bauhinia affinis","Fabaceae","Bauhinia","Bauhinia affinis","species","Arbusto",NA,"Floresta Ombrófila (= Floresta Pluvial)",370,"native","shrub","Woody tree (Shrub or treelet)",18.3,"small_tree",0.715454545454545,"pioneer",0.196853100884573,"autochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp371","Bauhinia albicans","Fabaceae","Bauhinia","Bauhinia albicans","species","Arbusto",NA,"Restinga",371,"native","shrub","Woody tree (Shrub or treelet)",3,"large_shrub",0.715454545454545,"unknown",0.196853100884573,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp372","Bauhinia bauhinioides","Fabaceae","Bauhinia","Bauhinia bauhinioides","species","Arbusto",NA,"Área Antrópica|Floresta Ciliar ou Galeria",372,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.715454545454545,"unknown",0.196853100884573,NA,"unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp373","Bauhinia brevipes","Fabaceae","Bauhinia","Bauhinia brevipes","species","Arbusto",NA,"Cerrado (lato sensu)",373,"native","shrub","Woody tree (Shrub or treelet)",6.59,"small_tree",0.715454545454545,"pioneer",0.196853100884573,"autochoric","pioneer_small_tree",20,7,0.6125,"0.4731-0.7518",NA,NA,NA
"sp374","Bauhinia catingae","Fabaceae","Bauhinia","Bauhinia catingae","species","Arbusto|Árvore",NA,"Caatinga (stricto sensu)|Carrasco|Floresta Estacional Decidual",374,"native","shrub","Woody tree (Shrub or treelet)",4.7,"large_shrub",0.715454545454545,"unknown",0.196853100884573,"autochoric","unknown_large_shrub",25,5,1,"0.95-1.05",NA,NA,NA
"sp375","Bauhinia cheilantha","Fabaceae","Bauhinia","Bauhinia cheilantha","species","Arbusto|Árvore",NA,"Área Antrópica|Caatinga (stricto sensu)|Floresta Estacional Decidual",375,"native","tree","Woody tree (Tree or shrub)",7.66,"small_tree",0.68,"early_secondary",0.196853100884573,"autochoric","early_secondary_small_tree",40,8,0.4661,"0.3827-0.5495",NA,NA,NA
