family,scientific.name,life.form,status,number of records,vouchers
Fabaceae,Vachellia macracantha (Humb. & Bonpl. ex Willd.) Seigler & Ebinger,tree,probable occurrence in the AF,342,"Bonpland, A., s.n. (P 2142718); Bonpland, A., s.n. (P 2142719); Bonpland, A., s.n. (P 2142720); Britton, N.L., 12593 (NY 3266, US 1209865, US 791217); Duchassaing de F., E.P. (no. s.n.), s.n. (GOET 9909/ 760789 / 404190); Duchassaing, s.n. (GOET 11304); Houstoun, W., s.n. (BM 1122962); Humboldt, F.W.H.A., s.n. (B 1278); Zardini, E.M., 44111 (MO 1072880)"
Gentianaceae,Prepusa montana Mart.,tree,probable occurrence in the AF,102,"Fraga, C.N., 2691 (RB 573571, SPF 193767); Martius, C.F.P(no. Obs. ), s.n. (MSB 184052/ 569067 / 245382); Rafae, 14415 (RB 1369680)"
Gentianaceae,Senaea coerulea Taub.,shrub,probable occurrence in the AF,2,"Amaral, M.C.E., CFSC8476 (SPF 39230); Glaziou, A.F.M., 19739 (F 360851)"
Hernandiaceae,Sparattanthelium borororum Mart.,tree,no records found but cited in BF.2020,28,"Beck, S.G., 12235 (MO 100536161); Burchell, W.J., 8512 (NY 894238); Chavez, E., 73 (MO 1322773); Daly, D.C., 6825 (INPA 173927, MO 3298240, NY 471902); Ducke, A., MG3753 (INPA 11695); Freire Allemao, F., 1327 (R 61404); Freire Allemao, F., s.n. (R 61403); Freire Allemao, F., s.n. (R 61405); Freire Allemao, F., s.n. (R 61406); Freire Allemao, F., s.n. (R 61408); Freire Allemao, F., s.n. (R 61409); Freire Allemao, F., s.n. (R 61410); Freire Allemao, F., s.n. (R 61411); Freire Allemao, F., s.n. (R 61413); Freire Allemao, F., s.n. (R 61414); Freire Allemao, F., s.n. (R 61415); Glaziou, A.F.M., 11456 (R 8851); Kallunki, J.A., 346 (NY 413652, SP 272703, SPF 81427); Kuntze, C.E.O., s.n. (NY 894236); Nee, M.H., 40115 (MO 1529249, NY 413653); Nee, M.H., 41656 (MO 1521357); Nee, M.H., 41708 (MO 1522309); Nee, M.H., 41729 (MO 1522669); Nee, M.H., 41752 (MO 1523060); Riedel L., s.n. (BR 5111992); Riedel, L., 877 (NY 356044); Riedel, L., s.n. (NY 894237); Teixeira, L.O.A., 1110 (INPA 104846, MO 3145614, NY 1843726)"
Hernandiaceae,Sparattanthelium botocudorum Mart.,tree,no records found but cited in BF.2020,91,"Arbo, M.M., 7776 (CEPEC 74011); Barreto, R., 98 (IPA 31941, IPA 31942); Blanchet, J.S., 1924 (G 355839); Blanchet, J.S., 1924 (MO 1810552); Blanchet, J.S., 1924 (NY 356045); Blanchet, J.S., s.n. (G 260192/1); Carneiro, J., 75168 (MA 1-00724380); Glaziou, A.F.M., 12139 (R 8852); Hatschbach, G., 75630 (MBM 284690, UPCB 86169); Lorenzi, H., 146 (HPL 9162); Martius, C.F.P., s.n. (B 13548); Mendes, M.J.B., 26 (MAC 1003); Noblick, L.R., 2341 (MBM 97745); Prata, A.P., 1277 (ASE 9150, HUEFS 171102); Ribeiro, M., 181 (SAMES 2665, VIES 27278); Salzmann, P., s.n. (MO 1819603); Salzmann, P., s.n. (P 1903611); Sant'ana, Anonymous, 460 (ASE 5578, CEPEC 60229, MO 3298253, NY 476187); Souza, E.B., 1836 (EAC 47996, HUEFS 166730, UFRN 11116); Souza, M.F.L., 252 (ASE 5993); Staviski, 497 (MBM 97436); Wied M., s.n. (BR 6812171)"
Hernandiaceae,Sparattanthelium tupiniquinorum Mart.,tree,no records found but cited in BF.2020,62,"Cid, C.A., 4390 (RB 122540); Duarte, A.P., 8815 (CEPEC 132945); Gill, R.C., 43 (NY 413655); Leal, C.G., 228 (RB 122432, VIES 23372); Lima, J.C.A., 146 (NY 413642, RB 122405); Martii Herbar. Florae Brasil., 509 (NY 387528, NY 387531); Martinelli, G., 11649 (RB 122576, VIES 23364); Martinelli, G., 9714 (RB 122623, VIES 23399); Martius, C., 509 (MO 1810542); Martius, C.F., s.n. (P 752344); Martius, C.F.P(no. Herb. Fl. Bras. ), s.n. (MSB 239886/ 710104 / 359110); Martius, C.F.P(no. Herb. Fl. Bras. ), s.n. (MSB 239887/ 710105 / 359111); Martius, C.F.P., 509 (F 44290); Martius, C.F.P., Herb-Mart-509 (B 100247487); Martius, K.F.P., 509 (BM 645335); Mattos-Silva, L.A., 393 (CEPEC 16386); Nee, M., 34582 (INPA 180687, MO 3147625, NY 2450269, SP 267148); Nee, M., 53030 (MO 3145917, SPF 184553); Nee, M.H., 41752 (MG 144300); Nelson, B.W., 688 (MO 3145824); Pessoa, E.M., 142 (JPB 45010); Silva, J.A.C., 1368 (INPA 257471, VIES 25969); Sperling, C.R., 5970 (MO 3146944, NY 2450272); Steyermark, J.A., 87614 (MO 3148061); Anonymous, s.n. (BR 6816193); Anonymous, s.n. (BR 6816520); Vasconcelos, J.M., 95 (RB 122429, SPSF 867, VIES 23378)"
Humiriaceae,Vantanea guianensis Aubl.,tree,no records found but cited in BF.2020,44,"Aublet, J.B.C.F., s.n. (BM 795993); Bastos, A.M., 244 (MO 2796776, RB 123901); Gentry, A.H., 42586 (MO 114742); Kawasaki, M.L., 377 (MO 2794692, NY 2270846); Maguire, B., 56006 (MO 2794741, NY 2270888, RB 123998); Prance, G.T., 58722 (NY 2270891, NY 2448312, RB 123968)"
Hypericaceae,Vismia parviflora Cham. & Schltdl.,tree,no records found but cited in BF.2020,1,NA
Lamiaceae,Eriope latifolia (Mart. ex Benth.) Harley,tree,probable occurrence in the AF,185,"Andrade Neto, M., s.n. (EAC 43692); Blanchet J.S., 2587 (BR 6913755); Blanchet J.S., 3587 (BR 5914586); Blanchet, J.S., 2587 (BM 992903, BM 992904); Blanchet, J.S., 2587 (E 25406); Blanchet, J.S., 2587 (F 360039); Blanchet, J.S., 2587 (F 92501); Blanchet, J.S., 2587 (G 437790, G 437791, G 437792); Blanchet, J.S., 3587 (MG 903010); Blanchet, J.S., 3587 (MO 2913814); Blanchet, J.S., s.n. (G 307836/1); Blanchet, J.S., s.n. (G 307836/2); Blanchet, J.S., s.n. (G 307836/3); Costa, A.L., s.n. (ALCB 03035); Fernandes, A., s.n. (EAC 14063); Fernandes, A., s.n. (EAC 15049); Fernandes, A., s.n. (EAC 3765); Furlan, A., s.n. (MBM 85803); Harley, R.M., s.n. (NY 1023616); Harley, R.M., s.n. (NY 1023617); Irwin, H.S., 30803 (K 1220762, K 1220765, MO 2902382, NY 498709, RB 164020, UB 1694); Irwin, H.S., 31085 (MO 2902529, NY 498710, RB 164021, UB 1695, US 2675520); Luetzelburg, P., 62 (NY 498694); Martius, C.F.P., s.n. (MSB 110887/ 620848 / 278432); Martius, C.F.P., s.n. (MSB 186066/ 621485 / 279069); Martius, C.F.P., s.n. (MSB 186067/ 621486 / 279070); Martius, C.F.P., s.n. (MSB 99479/ 620751 / 278336); Pinto, G.C.P., s.n. (ALCB 03673); Pinto, G.C.P., s.n. (ALCB 03702); Woodgyer, E.M., s.n. (NY 1023615)"
Lamiaceae,Vitex maranhana Moldenke,tree,probable occurrence in the AF,3,"Froes, R.L., 4 (NY 138383); Froes, R.L., 4 (US 1618740); Macedo, G.E.L., 27 (HUEFS 76314)"
Lauraceae,Beilschmiedia vestita L.C.S. Assis e M.F. Santos,tree,no records found but cited in BF.2020,4,"Santos, M.F., 265 (SPF 202092); Santos, M.F., 424 (RB 714839, SPF 202091); Santos, M.F., 425 (MO 100658122, NY 1842819, RB 713982, SPF 202090); Santos, M.F., 426 (CESJ 69364, MBM 390475, SPF 202093, SPSF 46787)"
Lauraceae,Cinnamomum haussknechtii (Mez) Kosterm.,shrub,probable occurrence in the AF,40,"Felfili, J.M., 43 (MO 1875735, UB 150037); Harley, R.M., 25777 (MO 1875739, NY 459824); Heringer, E.P., 9817 (SP 80816); Irwin, H.S., 13579 (NY 894383, UB 92488); Lorea, F.G., 5587 (SPSF 18769); Lorea, F.G., 5592 (SPSF 18771); Moraes, P.L.R., 3139 (HRCB 54430); Sellow, F., 1082 (B 100185193); Sellow, F., 1082 (MO 1875745)"
Lauraceae,Ocotea adamantina P.L.R. Moraes e van der Werff,tree,probable occurrence in the AF,20,"Almeda, F., 9003 (HRCB 54427); Brade, A.C., 13660 (RB 132996, RB 27985); Conceicao, A.A., 1288 (HUEFS 94550); Conceicao, A.A.S., Conceição-1288 (MO 100412019); Harley, R.M., 15751 (MO 1460378); Harley, R.M., 54490 (HUEFS 72981, MO 100412018); Lambert, S.M., 30 (HUEFS 92992, MO 100412020); Moraes, P.L.R, 2936 (HUEFS 152365, MO 100255262); Moraes, P.L.R, 3054 (HUEFS 159530, MO 100468143); Moraes, P.L.R, 3060 (HUEFS 159536); Moraes, P.L.R, 3062 (HUEFS 159538, MO 100468144); Moraes, P.L.R, 3063 (HUEFS 159539, MO 100468146); Moraes, P.L.R, 3064 (HUEFS 159540, MO 100468147); Moraes, P.L.R., 3055 (HRCB 54992, HUEFS 159531, MO 100412016); Moraes, P.L.R., s.n. (HBG 524868); Moraes, P.L.R., s.n. (P 1167740); Nascimento, J.G.A, 278 (HUEFS 91649); Nascimento, J.G.A, 279 (HUEFS 91650); Roque, N., 2160 (ALCB 89052); Souza, J.P., 2163 (ESA 41337, RB 731159, SPF 170529)"
Lauraceae,Ocotea maranguapensis Vattimo-Gil,tree,probable occurrence in the AF,1,"Harley, R.M., 27426 (SPF 72628)"
Lauraceae,Persea glabra van der Werff,tree,probable occurrence in the AF,9,"Froes, R.L., 20022 (IAC 9809, UEC 68564); Harley, R.M., 27205 (CEPEC 108617, CEPEC 46920, MO 1809903, NY 803782, SPF 68757); Leitao Filho, H.F., 17375 (UEC 40021); Moraes, P.L.R, 2585 (HUEFS 148213, MO 100313365); Moraes, P.L.R, 2588 (HUEFS 148216, MO 100313367); Moraes, P.L.R, 2958 (HUEFS 152387, MO 100255299); Nascimento, F.H.F., 1178 (HUEFS 201559); Nascimento, F.H.F., 342 (FLOR 47785, HB 95353, HUEFS 44165); Santos, A.K.A., 926 (HUEFS 116771)"
Lauraceae,Persea punctata Meisn.,tree,probable occurrence in the AF,12,"Dusen, P., Dusén-9797 (MO 1901512); Loefgren, A., CGG847 (SP 10601); Lund, L., s.n. (NY 355845); Lund, L., s.n. (NY 355846); Lund, P.W., s.n. (G 135196); Lund, P.W., s.n. (G 150889/1); Riedel, L., 1001/2234 (B 100185205); Riedel, L., 2234 (G 368941); Riedel, L., 2234 (MO 1901527); Riedel, L., s.n. (G 266781/1); Rojas, T., 6203 (MO 1055284); Rojas, T., 6865 (MO 1055351)"
Linaceae,Roucheria columbiana Hallier,tree,no records found but cited in BF.2020,39,"Clavijo L., 736 (COL 550119, HUA 172626, HUA 172627); Dairon Cardenas L., 6828 (MO 1059625); Ducke, A., 21708 (US 1517608); Ducke, A., s.n. (MG 167668); Ducke, A., s.n. (RB 540471); Ducke, A., s.n. (RB 540472); Ferreira, C.A.C., 8769 (INPA 153424); Fiaschi, P., 2294 (CEPEC 100949); Gentry, A.H., 16178 (MO 114379); Gentry, A.H., 41646 (MO 114514); Gentry, A.H., 41940 (MO 114321); Hartshorn, G.S., 2415 (MO 1235041); Hurbath, F., 192 (ALCB 102622, MBM 394029, RB 927435); John James Pipoly, I.I.I., 13477 (MO 114326); Mori, S.A., 15932 (MO 3178755); Mori, S.A., 17704 (HAMAB 6257, MO 1240900); Rodrigues, W.A., 2933 (INPA 10288); Thomas, W.W., 4773 (INPA 151290, MO 1299024, NY 1023024, SPF 45697); Thomas, W.W., 4790 (MO 1240908, NY 1023022, SPF 46012); Vicentini, A., 912 (INPA 178994, SPF 141696)"
Malpighiaceae,Bunchosia paraguariensis Nied.,tree,probable occurrence in the AF,32,"Barbosa, E., 2020 (ALCB 86090, HRB 58543, RB 478487, SPF 196242); Bento, J.P.S.P., 28 (CGMS 48939); Conceicao, C.A., 2762 (SP 467830); Francener, A., 883 (CGMS 35340, IBGE 74176, UB 181460, UFG 46872); Hassler, E., 7669 (B 12842); Hassler, E., 7669 (BM 546105); Hassler, E., 7669 (MO 2845224); Hassler, E., 7669 (NY 55522); Hassler, E., 7697 (BM 546104); Hassler, E., 7697 (NY 55523); Hassler, E., s.n. (G 130766/1); Hassler, E., s.n. (G 130766/2); Hassler, E., s.n. (G 130767/1); Hassler, E., s.n. (G 130767/2); Hassler, E., s.n. (P 2428690); Hassler, E., s.n. (P 2428691); Hassler, E., s.n. (UM 20959); Hatschbach, G., 73931 (MBM 276613); Hatschbach, G., 74205 (CEPEC 102837, MBM 276602, MO 3328535); Hatschbach, G., 74931 (CEPEC 99679, CESJ 42792, HUEFS 86121, MO 3329348, SP 370719, SPF 161976, SPSF 32822); Hatschbach, G., 76306 (CESJ 53744, HCF 23607, HUFU 53332, MA 1-00833479, MBM 297850, RB 492370); Irwin, H.S., 7185 (NY 893174); Irwin, H.S., 7612 (MBM 72484); Kinupp, V.F., 2202 (CGMS 9708, ICN 124433); Nee, M.H., 38583 (MO 1521288); Nee, M.H., 45852 (MO 1533202); Nee, M.H., 47603 (MO 1534518, NY 802508); Nee, M.H., 48750 (MO 1537000, NY 802517); Nee, M.H., 52668 (MO 100367687); Nee, M.H., 53624 (MO 100367680)"
Malpighiaceae,Byrsonima basiloba A.Juss.,tree,probable occurrence in the AF,313,"Brasilia, P.I., 29 (INPA 173554); Claussen, P., s.n. (G 244980/1); Claussen, P., s.n. (G 352742); Claussen, s.n. (P 2288003); Correa Gomes Jr, J., 2112 (SP 343550, SP 343586, UB 6643); Forzza, R.C., 4612 (CEPEC 133912); Francener, A., 1274 (SP 446929, UFRN 24281); Gardner, G., 3617 (G 352741, G 352743); Gardner, G., 3617 (MO 100658634); Gardner, G., s.n. (G 244979/1); Gardner, G., s.n. (G 244979/2); Gardner, G., s.n. (P 2288001); Gardner, G., s.n. (P 2288002); H.S.Irwin, R.R.Santos, R.Souza, 24369 (NY 893215, US 2752615); Hatschbach, G., 54051 (MBM 135598); Hatschbach, G., 70868 (MBM 249225); Jesus, J., 32 (UB 138785, US 2577839); Macedo, A., 4291 (RB 96629, US 2249199); Macedo, A., 4455 (RB 96628, US 2249274); Mattos, J.R., 11566 (SP 80780, US 2771635); Mendonca, R.C., 4907 (IBGE 55596, SP 364588); Silva, N.T., 57174 (MO 100818380); Silveira, F.A., 69 (SP 216337, VIC 9963); Souto, L.S., 2 (BOTU 24290, SP 378985); Souza, V.C., 16515 (CEPEC 139228); Souza, V.C., 20333 (ESA 45043, ESA 45053, RB 757590)"
Malpighiaceae,Ptilochaeta densiflora Nied.,tree,probable occurrence in the AF,29,"Almeida, A.M., 134 (CPAP 21568, HUEFS 234533); Damasceno Jr, G.A., 1213 (SPF 229764); Damasceno Jr, G.A., 3298 (COR 11021, SP 365940, UEC 199118); Damasceno Junior, G.A., 1200 (COR 13614); Damasceno Junior, G.A., 1213 (COR 13685); Damasceno Junior, G.A., 2642 (CGMS 18802, COR 9386, SP 365736, UEC 145385); Gentry, A.H., 75207 (MO 131907); Guarino, E.S.G., 804 (CEN 57854, SP 409331); Harley, R.M., 25757 (E 46695, HUEFS 23447, NY 476291, NY 476292, SP 253584, SPF 72786, UB 133542); Hassler, E., 7278 (B 12846); Hassler, E., 7278 (NY 67705); Hassler, E., 7278 (US 2055252); Hassler, E., 7278A (MO 1156904); Hassler, E., 7278a (NY 67706); Hassler, E., s.n. (G 130770/1); Hassler, E., s.n. (G 130770/2); Hassler, E., s.n. (G 130770/3); Hassler, E., s.n. (G 130771/1); Hassler, E., s.n. (P 2429051); Hassler, E., s.n. (P 2429052); Hassler, E., s.n. (P 2429053); Hassler, E., s.n. (UM 20094); Hassler, E., s.n. (UM 20095); Hassler, E., s.n. (UM 20096); Melo, E., 10524 (HUEFS 178063); Melo, E., 10552 (HUEFS 178091); Melo, E., 10564 (HUEFS 178103); Moraes, A.O., 75 (FUEL 39819, HST 14133, HUEFS 103129, HUESB 4066); Pereira, M., 3 (SP 313913)"
Malvaceae,Callianthe latipetala (G.L.Esteves & Krapov.) Donnell,tree,no records found but cited in BF.2020,1,NA
Malvaceae,Christiana africana A.DC.,tree,no records found but cited in BF.2020,55,"Schomburgk, 800 (K 381143); Schomburgk, R.H., 800 (B 9254)"
Malvaceae,Helicteres muscosa Mart.,shrub,probable occurrence in the AF,97,"Amaral, I.L., 809 (UB 90888); Carvalho-Sobrinho, J.G., 2447 (HVASF 9191, RB 653944); Farias, R., 368 (MBM 270595, UFG 26590); Krapovickas, A., 38764 (K 1214406); Krapovickas, A., 38776 (NY 947018, SPF 149929); Lima, J.L.S., 1972 (HTSA 1972); Loriasm .R.R., 16 (UFP 75904); Martius, C.F.P(no. Obs. ), s.n. (MSB 211171/ 619337 / 277052); Martius, C.F.P(no. Obs. ), s.n. (MSB 211172/ 619338 / 277053); Martius, C.F.P(no. Obs. ), s.n. (MSB 211175/ 619341 / 277056); Martius, C.F.P(no. Obs. ), s.n. (MSB 211176/ 619342 / 277057); Martius, C.F.P(no. Obs. ), s.n. (MSB 211177/ 619343 / 277058); Prance, G.T., 25294 (MG 059903, NY 2342677); Queiroz, L.P., 6196 (HST 11800, HUEFS 45578, JPB 32794, RB 433209, UEC 131967); Souza, L.F., 6024 (HJ 7919)"
Malvaceae,Pachira retusa (Mart.& Zucc.) Fern.Alonso,tree,probable occurrence in the AF,43,"Bocage, A., 277 (IPA 54044, PEUFR 15567); Hatschbach, G.G., 44236 (INPA 203627, MBM 72346); Lima, J.L.S., 155 (HTSA 746); Roque, N., 1156 (ALCB 67766)"
Malvaceae,Pavonia almasana Ulbr.,shrub,probable occurrence in the AF,30,"Esteves, G.L., 2547 (MAC 7790, SPF 76615); Furlan, A., 1677 (K 1217527, NY 406982); Furlan, A., CFCR1677 (SPF 18549); Furlan, A., s.n. (NY 406983); Ganev, W., 172 (HUEFS 10615, K 1217519, NY 406977, SPF 88311); Ganev, W., 1899 (HUEFS 14486, HUESB 4896, K 1217517, SPF 82556); Ganev, W., 3492 (HUEFS 18237, HUESB 4910, K 1217520, SPF 119988); Ganev, W., 381 (HUEFS 10824, K 1217522, K 1217523, SPF 88400); Giulietti, A.M., 1452 (HUEFS 39255, HUESB 4862); Giulietti, A.M., 1506 (HUEFS 39613); Giulietti, A.M., CFCR6861 (SPF 36661); Giulietti, A.M., s.n. (NY 406976); Harley, R.M., 26540 (CEPEC 46624, MBM 151405, NY 406978, NY 406980, SPF 79132); Harley, R.M., 26540 (RB 311356); Hatschbach, G., 46553 (CEPEC 33851, ESA 2336, MBM 83673, NY 406979, SPF 32520, US 3012406); Luetzelburg, P(no. ), s.n. (MSB 211374/ 625144 / 282652); M. Luceno, M. Alves, A. Vanzela, A.P. Mendes, E.A., 473 (MA 1-00578824); Mayo, S., 1067 (CEPEC 66756); Mori, S.A., 12368 (CEPEC 17056, NY 406981, US 2857017); Queiroz, L.P, 7136 (HUEFS 60656, SPF 162018); Sano, P.T., 14580 (ESA 24324); Sano, P.T., 52371 (K 1217518, MBM 215154); Sano, P.T., CFCR14580 (SPF 95453); Sano, P.T., H52371 (SPF 91454); Santos, A.K.A., 142 (HUEFS 76227); Silva-Castro, M.M., 677 (HUEFS 75598); Silva-Castro, M.M., 679 (HUEFS 75600, HUESB 195, SPF 162038); Stannard, B., s.n. (ESA 37061); Stannard, B.L., H51179 (SPF 91737); Stannard, B.L., H51836 (SPF 91717)"
Malvaceae,Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz,tree,probable occurrence in the AF,40,"Albino, R.S., s.n. (IPA 68702); Basto, S.R.L., s.n. (PEUFR 50433); Cardoso, D., 1794 (HUEFS 116628); Cardoso, D., 502 (HUEFS 94737, NY 1146345); Carvalho-Sobrinho, J.G, 246 (HUEFS 81580); Carvalho-Sobrinho, J.G, 248 (HUEFS 81582); Carvalho-Sobrinho, J.G, 489 (HUEFS 94373); Carvalho-Sobrinho, J.G, 581 (HUEFS 100553); Carvalho-Sobrinho, J.G, 751 (HUEFS 103005, K 1266595, NY 1085451); Carvalho-Sobrinho, J.G, 752 (HUEFS 103006); Carvalho-Sobrinho, J.G., 752 (NY 1085452); Carvalho Sobrinho, J.G., 752 (SP 411948); Conceicao, A.A., 2424 (HUEFS 121669); Crepaldi, I.C., 6 (HUEFS 13565); Fonseca, M.R., 587 (ASE 2968); Franca, F., 3518 (HUEFS 54543); Guedes, F., s.n. (PEUFR 35501); Jesus, C.G., 23 (ASE 34024); Machado, W.J., 876 (ASE 18946); Melo, E., 6613 (HUEFS 156964); Nunes, T.S., 1131 (HUEFS 81537, MBM 339858); Oliveira, D.G., 174 (ASE 21822); Pimenta, K.M., 599 (ASE 34030); Queiroz, L.P, 12000 (HUEFS 105079); Queiroz, L.P, 7343 (HUEFS 63830, HUNEB 8303, SPF 157777); Santos, C.S., 365 (ASE 13605); Santos, L.A.S., 637 (ASE 22030); Silva, A.C.C., 133 (ASE 15701); Silva, A.C.C., 305 (ASE 17869); Silva, A.C.C., 320 (ASE 20311)"
Malvaceae,"Spirotheca elegans Carv.-Sobr., M.Machado & L.P.Queiroz",tree,probable occurrence in the AF,6,"Cardoso, D., 309 (HUEFS 91961); Carvalho-Sobrinho, J.G, 2868 (HUEFS 167507); Carvalho-Sobrinho, J.G, 2964 (CEPEC 138461); Carvalho-Sobrinho, J.G, 2977 (HUEFS 171817); Carvalho-Sobrinho, J.G, 3055 (HUEFS 173681); Carvalho-Sobrinho, J.G, 3181 (HUEFS 175723)"
Malvaceae,Waltheria ferruginea A.St.-Hil.,shrub,probable occurrence in the AF,29,"Alencar, M.E., 196 (IPA 54690, TEPB 8046, UFRR 916); Arbo, M.M., 5028 (ASU 50455, K 1213092, SPF 74259); Carvalho, A.M., 2709 (CEPEC 46003, MBM 139741, UB 157496); Carvalho, A.M., 4002 (CEPEC 55285); Cavalcanti, T.B., CFCR9702 (SPF 42952); Duarte, A.P., 14136 (HB 60811); Figueiredo, M.A., 0 (HUESB 6342); Freire-Fierro, A., CFCR12740 (SPF 67939); Goncalves, L.M.C., 19 (HRB 10462); Harley, R.M., 18972 (CEPEC 20886, K 1213119, UEC 42450); Harley, R.M., 19135 (CEPEC 21931, K 1213118); Harley, R.M., 21206 (CEPEC 26428, MO 101139046); Harley, R.M., 21563 (CEPEC 25860, UEC 42434); Hatschbach, G., 38411 (MBM 43503); Hatschbach, G., 55235 (HUEFS 10230, MBM 141168); Hatschbach, G., 56608 (K 1213107, MBM 150086, SPSF 16289, UPCB 20740); Irwin, H.S., 31957 (UB 606); Miranda, C.A., 271 (HRB 23663); Orlandi, R.P., 417 (ALCB 15818, HRB 4584); Saint-Hilaire, A., s.n. (P 2273702); Saint-Hilaire, A., s.n. (P 2273703); Saint-Hilaire, A., s.n. (UM 16436); Salgado, O.A., 72 (HRB 8159); Saunders, J.G., 3014 (MBM 200960); Saunders, J.G., 3179 (MA 1-00648046, MBM 219187, MO 3069928, NY 2342594, NY 813681); Soares, D.G., s.n. (IPA 66475); Vodicka, M.R., 10 (MOSS 6105); Vodicka, M.R., 42 (MOSS 6167); Vodicka, M.R., 43 (MOSS 6168)"
Melastomataceae,Lavoisiera harleyi Wurdack,tree,probable occurrence in the AF,19,"Conceicao, A.A., 1308 (HUEFS 94570, UEC 143940); Ganev, W., 1283 (K 957609, NY 777155, SPF 86990, UEC 134339); Ganev, W., 1834 (CAS 505020, HUEFS 14421, K 957613, NY 777151, SPF 82853); Ganev, W., 2928 (K 957611, NY 777154, SPF 120003); Harley, R.M., 19690 (CEPEC 19692); Harley, R.M., 19690 (E 285702, IPA 49617, MBM 109119, NY 228684, UEC 39268, US 2904237); Harley, R.M., 24484 (SPF 60452, UEC 104302); Harley, R.M., 54401 (HUEFS 79803); Harley, R.M., s.n. (P 245308); Mayo, S.J., 19690 (K 584894); Mori, S.A., 12455 (CEPEC 16850, RB 224255, US 2904236); Mori, S.A., 12455 (K 957606); Sano, P.T., CFCR14578 (K 957610, SPF 95451); Sano, P.T., H50876 (HUEFS 49944, SP 347092, SPF 90760); Sano, P.T., s.n. (MBM 302109); Santos, A.K.A., 183 (HUEFS 77382, UEC 134318); Santos, A.K.A., 196 (HUEFS 77449, UEC 134322); Santos, A.K.A., 928 (HUEFS 116773); Santos, A.K.A., 977 (HUEFS 116821)"
Melastomataceae,Miconia burchellii Triana,shrub,probable occurrence in the AF,167,"Barroso, G.M., 11354 (K 833852); Brasilia, P.I., 16 (INPA 173541); Brasilia, P.I., 42 (INPA 173567); Heringer, E.P., 14791 (MBM 81069); Irwin, H.S., 6566 (UB 77153); Proenca, C., 1369 (E 84303, UB 5555); Ratter, J.A., 3672 (UEC 10746, US 2829596); Rizzo, J.A., 7053 (UFG 7053, UPCB 90525); Santos, R.S., 24278 (MBM 41858); Santos, R.S., 24278 (NY 916883, NY 916894, NY 916913); Silva, N.T., 57175 (RB 161174); Souza, R., 12344 (K 833856); Souza, R., 22956 (K 833855); Souza, R., 9103 (K 833851); Souza, V.C., 24454 (ESA 66996, UPCB 45834)"
Melastomataceae,Miconia fissa Gleason,tree?,probable occurrence in the AF,7,"Ferreira, C.A.C., 7155 (INPA 140542, MG 141367, NY 987513, US 3122510); Holt, E., 528 (US 1517911); Holt, E.G., 528 (MO 100614535); Holt, E.G., 528 (NY 229148); Schultes, R.E., 16406 (NY 1722414, US 2171814); Wurdack, J.J., 43530 (NY 1722413, RB 106335); Zarucchi, J., 1972 (COL 170186, INPA 76542, MO 3246840, US 2816607)"
Melastomataceae,Miconia herpetica DC.,shrub,probable occurrence in the AF,23,"Campos, M.T.V., CFCR13370 (SPF 68775); Campos, M.T.V.A., s.n. (UEC 105097); Erskine, C.M., 15112 (K 828729); Erskine, C.M., 15120 (K 828730); Fonseca, M.L., 472 (SP 298335); Harley, R.M., 20052 (K 828728, NY 521656, SPF 20633); Harley, R.M., 27590 (MO 3246266, SPF 114145, UEC 105320, US 3147113); Hatschbach, G., 64573 (MBM 197900); Hatschbach, G., 75926 (CEPEC 102869, MBM 283881, UPCB 84142); Hatschbach, G., 77884 (ASU 25158, HUCS 27513, MBM 295992); Heringer, E.P., 8556 (HEPH 265, UB 133995); Martius, C.F.P(no. ), s.n. (MSB 165585/ 557991 / 236470); Martius, C.F.P., s.n. (G 310979); Martius, C.F.P., s.n. (M -165585); Martius, C.F.P., s.n. (MSB 165589/ 557995 / 236474); Melo, E., 8315 (HUEFS 163842); Michelon, C., s.n. (MBM 406944); Passos Junior, L.A., PCD4848 (ALCB 36982); Pirani, J.R., 27590 (K 828727); Sant'Ana, S.C, 1283 (HUEFS 127518, NY 1198077, RB 468722, RB 529722, UPCB 63576); Silva, S.B., 101 (CEPEC 29636, CEPEC 41766, MG 082444, RB 335985); Valente, G.E., 2349 (UPCB 63679, VIC 33615); Von Martius C., s.n. (BR 5211807)"
Melastomataceae,Miconia leucocarpa DC.,shrub,probable occurrence in the AF,98,"Goldenberg, R., 28483 (SPSF 16542, UEC 62778); Labiak, P.H., 5046 (NY 1184034, UPCB 63316); Pohl, J.B.E., 2543 (NY 229315); Pohl, J.E., s.n. (BM 799180); Pott, A., 9044 (CEN 105726, CGMS 63962, CPAP 22886, HUFU 38421, UPCB 53648); Ratter, J.A., 3394 (UB 101068, UEC 28640); Riedel, L., 1430 (B 17136); Riedel, L., s.n. (P 2442557); Riedel, L., s.n. (P 2442558); Silva, M.A., 1434 (UB 134133); Souza, V.C., 21388 (RB 590983, UPCB 45819); Von Martius C., s.n. (BR 5212187)"
Melastomataceae,Miconia ovata Cogn.,tree,no records found but cited in BF.2020,2,"Riedel, [365] (BR 5212408); Riedel, L., 395 (MO 100618150)"
