"GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup","GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName","GeneralHabitats.GeneralHabitatsSubfield.majorImportance","GeneralHabitats.GeneralHabitatsSubfield.season","GeneralHabitats.GeneralHabitatsSubfield.suitability","internal_taxon_id"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp386"
"2.1","Savanna - Dry","","Resident","Suitable","sp386"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp387"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp388"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp388"
"2.1","Savanna - Dry","","Resident","Suitable","sp388"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp389"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp390"
"2.1","Savanna - Dry","","Resident","Suitable","sp390"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp390"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp390"
"2.1","Savanna - Dry","","Resident","Suitable","sp391"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp391"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp392"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp392"
"2.1","Savanna - Dry","","Resident","Suitable","sp392"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp392"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp393"
"2.1","Savanna - Dry","","Resident","Suitable","sp393"
"14","Artificial - Terrestrial","No","Resident","Marginal","sp393"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp394"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp394"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp395"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp396"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp397"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp398"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp399"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp400"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp401"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp402"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp403"
"4.7","Grassland – Subtropical/tropical high altitude","No","Resident","Marginal","sp403"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp404"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp404"
"4.7","Grassland – Subtropical/tropical high altitude","No","Resident","Marginal","sp404"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp405"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp405"
"14","Artificial - Terrestrial","No","Resident","Marginal","sp405"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp406"
"2.1","Savanna - Dry","","Resident","Suitable","sp406"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp406"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp407"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp407"
"2.1","Savanna - Dry","","Resident","Suitable","sp407"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp407"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp408"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp409"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp410"
"1.8","Forest – Subtropical/tropical swamp","","Resident","Suitable","sp410"
"2.1","Savanna - Dry","","Resident","Suitable","sp410"
"2.2","Savanna - Moist","","Resident","Suitable","sp410"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp410"
"14","Artificial - Terrestrial","No","Resident","Marginal","sp410"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp411"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp412"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp412"
"2.1","Savanna - Dry","","Resident","Suitable","sp412"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp412"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp413"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp413"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","Yes","Resident","Suitable","sp414"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp415"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp415"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp415"
"2.1","Savanna - Dry","","Resident","Suitable","sp415"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp415"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp415"
"14","Artificial - Terrestrial","No","Resident","Marginal","sp415"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp416"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp417"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp418"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp418"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp419"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp420"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp421"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp422"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp422"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp423"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp423"
"2.1","Savanna - Dry","","Resident","Suitable","sp423"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp424"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp425"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp425"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp425"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp425"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp426"
"2.1","Savanna - Dry","","Resident","Suitable","sp426"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp426"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp427"
"2.1","Savanna - Dry","","Resident","Suitable","sp427"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp427"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp427"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp428"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp429"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp429"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp430"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp430"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp430"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp430"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp430"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","Yes","Resident","Suitable","sp431"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp432"
"1.8","Forest – Subtropical/tropical swamp","","Resident","Suitable","sp432"
"2.1","Savanna - Dry","","Resident","Suitable","sp432"
"2.2","Savanna - Moist","","Resident","Suitable","sp432"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp433"
"2.1","Savanna - Dry","","Resident","Suitable","sp433"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp434"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp434"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp434"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp435"
"3.5","Shrubland – Subtropical/tropical dry","Yes","Resident","Suitable","sp436"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp437"
"2.1","Savanna - Dry","","Resident","Suitable","sp438"
"2.2","Savanna - Moist","","Resident","Suitable","sp438"
"14","Artificial - Terrestrial","No","Resident","Marginal","sp438"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp439"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp440"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp441"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp441"
"14","Artificial - Terrestrial","No","Resident","Marginal","sp441"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp442"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp443"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp443"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp444"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp444"
"14","Artificial - Terrestrial","No","Resident","Marginal","sp444"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp445"
"1.8","Forest – Subtropical/tropical swamp","","Resident","Suitable","sp445"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp446"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp447"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp448"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp448"
"4.7","Grassland – Subtropical/tropical high altitude","No","Resident","Marginal","sp448"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp448"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp449"
"1.9","Forest – Subtropical/tropical moist montane","Yes","Resident","Suitable","sp450"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp451"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp451"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp452"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp452"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp453"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp453"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp454"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp454"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp454"
"2.1","Savanna - Dry","","Resident","Suitable","sp454"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp454"
"4.7","Grassland – Subtropical/tropical high altitude","No","Resident","Marginal","sp454"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp454"
"14","Artificial - Terrestrial","No","Resident","Marginal","sp454"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp455"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp456"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp457"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp458"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp459"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp459"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp460"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp461"
"2.1","Savanna - Dry","Yes","Resident","Suitable","sp462"
"2.1","Savanna - Dry","","Resident","Suitable","sp463"
"2.2","Savanna - Moist","","Resident","Suitable","sp463"
"3.5","Shrubland – Subtropical/tropical dry","Yes","Resident","Suitable","sp464"
"2.1","Savanna - Dry","","Resident","Suitable","sp465"
"2.2","Savanna - Moist","","Resident","Suitable","sp465"
"4.7","Grassland – Subtropical/tropical high altitude","No","Resident","Marginal","sp465"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp466"
"2.1","Savanna - Dry","","Resident","Suitable","sp466"
"2.2","Savanna - Moist","","Resident","Suitable","sp466"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp466"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp466"
"2.1","Savanna - Dry","","Resident","Suitable","sp467"
"2.2","Savanna - Moist","","Resident","Suitable","sp467"
"2.1","Savanna - Dry","Yes","Resident","Suitable","sp468"
"2.1","Savanna - Dry","","Resident","Suitable","sp469"
"2.2","Savanna - Moist","","Resident","Suitable","sp469"
"4.7","Grassland – Subtropical/tropical high altitude","No","Resident","Marginal","sp469"
"2.1","Savanna - Dry","Yes","Resident","Suitable","sp470"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp471"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp472"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp472"
"2.1","Savanna - Dry","","Resident","Suitable","sp473"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp473"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp474"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp475"
"1.8","Forest – Subtropical/tropical swamp","","Resident","Suitable","sp475"
"2.1","Savanna - Dry","","Resident","Suitable","sp475"
"2.1","Savanna - Dry","Yes","Resident","Suitable","sp476"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp477"
"1.8","Forest – Subtropical/tropical swamp","","Resident","Suitable","sp477"
"2.2","Savanna - Moist","","Resident","Suitable","sp477"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp477"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp477"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp478"
"2.1","Savanna - Dry","","Resident","Suitable","sp478"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp478"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp479"
"2.1","Savanna - Dry","","Resident","Suitable","sp479"
"2.2","Savanna - Moist","","Resident","Suitable","sp479"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp479"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp480"
"1.8","Forest – Subtropical/tropical swamp","","Resident","Suitable","sp480"
"2.1","Savanna - Dry","","Resident","Suitable","sp481"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp481"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp481"
"2.1","Savanna - Dry","","Resident","Suitable","sp482"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp482"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp483"
"2.1","Savanna - Dry","","Resident","Suitable","sp484"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp484"
"2.1","Savanna - Dry","","Resident","Suitable","sp485"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp485"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp485"
"2.1","Savanna - Dry","Yes","Resident","Suitable","sp486"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp487"
"1.8","Forest – Subtropical/tropical swamp","","Resident","Suitable","sp487"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp488"
"2.1","Savanna - Dry","","Resident","Suitable","sp488"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp489"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","Yes","Resident","Suitable","sp490"
"3.5","Shrubland – Subtropical/tropical dry","Yes","Resident","Suitable","sp491"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp492"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp493"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp494"
"2.1","Savanna - Dry","","Resident","Suitable","sp494"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp494"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp495"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp496"
"2.1","Savanna - Dry","","Resident","Suitable","sp496"
"2.1","Savanna - Dry","Yes","Resident","Suitable","sp497"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp498"
"3.5","Shrubland – Subtropical/tropical dry","Yes","Resident","Suitable","sp499"
"2.1","Savanna - Dry","Yes","Resident","Suitable","sp500"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp501"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp502"
"2.1","Savanna - Dry","","Resident","Suitable","sp502"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp502"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp502"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","Yes","Resident","Suitable","sp503"
"2.1","Savanna - Dry","","Resident","Suitable","sp504"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp504"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp505"
"2.1","Savanna - Dry","","Resident","Suitable","sp506"
"2.2","Savanna - Moist","","Resident","Suitable","sp506"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp506"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp507"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp507"
"2.1","Savanna - Dry","","Resident","Suitable","sp508"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp508"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","Yes","Resident","Suitable","sp509"
"2.1","Savanna - Dry","","Resident","Suitable","sp510"
"2.2","Savanna - Moist","","Resident","Suitable","sp510"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp510"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp510"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp511"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp511"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp512"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp512"
"2.1","Savanna - Dry","","Resident","Suitable","sp512"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","Yes","Resident","Suitable","sp513"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp514"
"2.1","Savanna - Dry","","Resident","Suitable","sp514"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp514"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp515"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp515"
"2.1","Savanna - Dry","","Resident","Suitable","sp515"
"2.1","Savanna - Dry","","Resident","Suitable","sp516"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp516"
"2.1","Savanna - Dry","Yes","Resident","Suitable","sp517"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp518"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","Yes","Resident","Suitable","sp519"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp520"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp521"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp521"
"2.1","Savanna - Dry","","Resident","Suitable","sp521"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp521"
"4.7","Grassland – Subtropical/tropical high altitude","No","Resident","Marginal","sp521"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","Yes","Resident","Suitable","sp522"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp523"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp524"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp524"
"2.1","Savanna - Dry","","Resident","Suitable","sp524"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp524"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp525"
"2.1","Savanna - Dry","","Resident","Suitable","sp525"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp525"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp525"
"2.1","Savanna - Dry","","Resident","Suitable","sp526"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp526"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp526"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp527"
"2.1","Savanna - Dry","","Resident","Suitable","sp527"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp528"
"1.8","Forest – Subtropical/tropical swamp","","Resident","Suitable","sp528"
"2.2","Savanna - Moist","","Resident","Suitable","sp528"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp529"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp529"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp529"
"1.5","Forest – Subtropical/tropical dry","","Resident","Suitable","sp530"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp530"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp531"
"2.1","Savanna - Dry","Yes","Resident","Suitable","sp532"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp533"
"1.9","Forest – Subtropical/tropical moist montane","Yes","Resident","Suitable","sp534"
"1.5","Forest – Subtropical/tropical dry","Yes","Resident","Suitable","sp535"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp536"
"2.1","Savanna - Dry","","Resident","Suitable","sp536"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp537"
"2.1","Savanna - Dry","","Resident","Suitable","sp537"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp538"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp538"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp539"
"2.1","Savanna - Dry","","Resident","Suitable","sp539"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp540"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp541"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp542"
"2.1","Savanna - Dry","","Resident","Suitable","sp542"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp542"
"2.1","Savanna - Dry","Yes","Resident","Suitable","sp543"
"2.1","Savanna - Dry","","Resident","Suitable","sp544"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp544"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp545"
"1.8","Forest – Subtropical/tropical swamp","","Resident","Suitable","sp545"
"2.2","Savanna - Moist","","Resident","Suitable","sp545"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp545"
"3.5","Shrubland – Subtropical/tropical dry","Yes","Resident","Suitable","sp546"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp547"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp548"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp549"
"1.8","Forest – Subtropical/tropical swamp","","Resident","Suitable","sp549"
"2.1","Savanna - Dry","","Resident","Suitable","sp550"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp550"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp551"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp551"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp552"
"2.1","Savanna - Dry","","Resident","Suitable","sp552"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp553"
"2.1","Savanna - Dry","","Resident","Suitable","sp553"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp553"
"4.7","Grassland – Subtropical/tropical high altitude","No","Resident","Marginal","sp553"
"2.1","Savanna - Dry","","Resident","Suitable","sp554"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp554"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp555"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp556"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp557"
"2.1","Savanna - Dry","","Resident","Suitable","sp557"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp557"
"6","Rocky Areas (e.g., inland cliffs, mountain peaks)","","Resident","Suitable","sp557"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp558"
"2.1","Savanna - Dry","","Resident","Suitable","sp558"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp559"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp559"
"2.1","Savanna - Dry","","Resident","Suitable","sp559"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp560"
"1.9","Forest – Subtropical/tropical moist montane","","Resident","Suitable","sp560"
"2.1","Savanna - Dry","","Resident","Suitable","sp560"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp561"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp562"
"2.1","Savanna - Dry","","Resident","Suitable","sp562"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp562"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp563"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp564"
"2.1","Savanna - Dry","","Resident","Suitable","sp564"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp565"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp565"
"1.6","Forest – Subtropical/tropical moist lowland","Yes","Resident","Suitable","sp566"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp567"
"3.5","Shrubland – Subtropical/tropical dry","","Resident","Suitable","sp567"
"1.6","Forest – Subtropical/tropical moist lowland","","Resident","Suitable","sp568"
