"Threats.ThreatsSubfield.StressesSubfield.stress","Threats.ThreatsSubfield.StressesSubfield.stressdesc","Threats.ThreatsSubfield.ThreatsLookup","Threats.ThreatsSubfield.ThreatsName","Threats.ThreatsSubfield.ancestry","Threats.ThreatsSubfield.ias","Threats.ThreatsSubfield.internationalTrade","Threats.ThreatsSubfield.scope","Threats.ThreatsSubfield.severity","Threats.ThreatsSubfield.text","Threats.ThreatsSubfield.timing","Threats.ThreatsSubfield.virus","internal_taxon_id"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp507"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp507"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp507"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp508"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp508"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp508"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp508"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp508"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp509"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp509"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp509"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp509"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp509"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp510"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp510"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp510"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp510"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp510"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp511"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp511"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp511"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp511"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp511"
"2.2|2.3",NA,"5.2.1",NA,NA,NA,"No","Unknown","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp511"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp512"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp512"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp512"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp512"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp512"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp513"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp513"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp513"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp513"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp513"
"2.1|2.3",NA,"5.3.2",NA,NA,NA,"No","Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp513"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp514"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp514"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp514"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp514"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp514"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp515"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp515"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp515"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp515"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp515"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp516"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp516"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp516"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp516"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp516"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp517"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp517"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp517"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp517"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp517"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp518"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp518"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp518"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp518"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp518"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp519"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp519"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp519"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp519"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp519"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp520"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp520"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp520"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp520"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp520"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp521"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp521"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp521"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp521"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp521"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp522"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp522"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp522"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp522"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp522"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp523"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp523"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp523"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp523"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp523"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp524"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp524"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp524"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp524"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp524"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp525"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp525"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp525"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp525"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp525"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp526"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp526"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp526"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp526"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp526"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp527"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp527"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp527"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp527"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp527"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp528"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp528"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp528"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp528"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp528"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp529"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp529"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp529"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp529"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp529"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp530"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp530"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp530"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp530"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp530"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp531"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp531"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp531"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp531"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp531"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp532"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp532"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp532"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp532"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp532"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp533"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp533"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp533"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp533"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp533"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp534"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp534"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp534"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp534"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp534"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp535"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp535"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp535"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp535"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp535"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp536"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp536"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp536"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp536"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp536"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp537"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp537"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp537"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp537"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp537"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp538"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp538"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp538"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp538"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp538"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp539"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp539"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp539"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp539"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp539"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp540"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp540"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp540"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp540"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp540"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp541"
"1.1|1.3|2.1|2.2",NA,"1.2",NA,NA,NA,NA,"Minority (<50%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp541"
"1.1|1.2|2.1|2.2|2.3",NA,"2.1.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp541"
"1.1|1.2|2.1|2.2|2.3",NA,"2.3.4",NA,NA,NA,NA,"Majority (50-90%)","Rapid Declines",NA,"Ongoing",NA,"sp541"
"1.1|1.2",NA,"3.2",NA,NA,NA,NA,"Minority (<50%)","Causing/Could cause fluctuations",NA,"Ongoing",NA,"sp541"
"1.1|1.3|2.1|2.2",NA,"1.1",NA,NA,NA,NA,"Majority (50-90%)","Slow, Significant Declines",NA,"Ongoing",NA,"sp542"
