"GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup","GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName","GeneralHabitats.GeneralHabitatsSubfield.majorImportance","GeneralHabitats.GeneralHabitatsSubfield.season","GeneralHabitats.GeneralHabitatsSubfield.suitability","internal_taxon_id"
NA,NA,NA,"resident","Suitable","sp1237"
NA,NA,NA,"resident","Suitable","sp1237"
NA,NA,NA,"resident","Suitable","sp1237"
1.6,NA,NA,"resident","Suitable","sp1238"
NA,NA,NA,"resident","Suitable","sp1238"
1.6,NA,NA,"resident","Suitable","sp1239"
2.1,NA,NA,"resident","Suitable","sp1239"
4.7,NA,NA,"resident","Suitable","sp1239"
2.1,NA,NA,"resident","Suitable","sp1240"
NA,NA,NA,"resident","Suitable","sp1240"
1.6,NA,NA,"resident","Suitable","sp1241"
1.6,NA,NA,"resident","Suitable","sp1242"
1.6,NA,NA,"resident","Suitable","sp1243"
3.5,NA,NA,"resident","Suitable","sp1244"
NA,NA,NA,"resident","Suitable","sp1244"
1.6,NA,NA,"resident","Suitable","sp1245"
2.1,NA,NA,"resident","Suitable","sp1245"
NA,NA,NA,"resident","Suitable","sp1245"
NA,NA,NA,"resident","Suitable","sp1245"
1.6,NA,NA,"resident","Suitable","sp1246"
NA,NA,NA,"resident","Suitable","sp1247"
NA,NA,NA,"resident","Suitable","sp1247"
1.6,NA,NA,"resident","Suitable","sp1248"
2.1,NA,NA,"resident","Suitable","sp1248"
4.7,NA,NA,"resident","Suitable","sp1248"
NA,NA,NA,"resident","Suitable","sp1248"
1.6,NA,NA,"resident","Suitable","sp1249"
3.5,NA,NA,"resident","Suitable","sp1249"
1.5,NA,NA,"resident","Suitable","sp1250"
1.6,NA,NA,"resident","Suitable","sp1250"
2.1,NA,NA,"resident","Suitable","sp1250"
NA,NA,NA,"resident","Suitable","sp1250"
NA,NA,NA,"resident","Suitable","sp1250"
1.6,NA,NA,"resident","Suitable","sp1251"
NA,NA,NA,"resident","Suitable","sp1251"
NA,NA,NA,"resident","Suitable","sp1251"
1.6,NA,NA,"resident","Suitable","sp1252"
NA,NA,NA,"resident","Suitable","sp1252"
NA,NA,NA,"resident","Suitable","sp1253"
NA,NA,NA,"resident","Suitable","sp1253"
2.1,NA,NA,"resident","Suitable","sp1254"
4.7,NA,NA,"resident","Suitable","sp1254"
2.1,NA,NA,"resident","Suitable","sp1255"
1.6,NA,NA,"resident","Suitable","sp1256"
2.1,NA,NA,"resident","Suitable","sp1256"
3.5,NA,NA,"resident","Suitable","sp1256"
4.7,NA,NA,"resident","Suitable","sp1256"
NA,NA,NA,"resident","Suitable","sp1256"
NA,NA,NA,"resident","Suitable","sp1256"
NA,NA,NA,"resident","Suitable","sp1256"
1.6,NA,NA,"resident","Suitable","sp1257"
NA,NA,NA,"resident","Suitable","sp1257"
NA,NA,NA,"resident","Suitable","sp1257"
1.6,NA,NA,"resident","Suitable","sp1258"
NA,NA,NA,"resident","Suitable","sp1258"
1.6,NA,NA,"resident","Suitable","sp1259"
NA,NA,NA,"resident","Suitable","sp1259"
1.6,NA,NA,"resident","Suitable","sp1260"
1.6,NA,NA,"resident","Suitable","sp1261"
1.6,NA,NA,"resident","Suitable","sp1262"
1.6,NA,NA,"resident","Suitable","sp1263"
1.6,NA,NA,"resident","Suitable","sp1264"
1.6,NA,NA,"resident","Suitable","sp1265"
NA,NA,NA,"resident","Suitable","sp1265"
1.6,NA,NA,"resident","Suitable","sp1266"
1.6,NA,NA,"resident","Suitable","sp1267"
1.6,NA,NA,"resident","Suitable","sp1268"
1.6,NA,NA,"resident","Suitable","sp1269"
1.6,NA,NA,"resident","Suitable","sp1270"
1.6,NA,NA,"resident","Suitable","sp1271"
1.6,NA,NA,"resident","Suitable","sp1272"
4.7,NA,NA,"resident","Suitable","sp1273"
NA,NA,NA,"resident","Suitable","sp1273"
4.7,NA,NA,"resident","Suitable","sp1274"
NA,NA,NA,"resident","Suitable","sp1274"
NA,NA,NA,"resident","Suitable","sp1274"
3.5,NA,NA,"resident","Suitable","sp1275"
NA,NA,NA,"resident","Suitable","sp1275"
1.6,NA,NA,"resident","Suitable","sp1276"
NA,NA,NA,"resident","Suitable","sp1276"
NA,NA,NA,"resident","Suitable","sp1276"
NA,NA,NA,"resident","Suitable","sp1276"
NA,NA,NA,"resident","Suitable","sp1276"
1.6,NA,NA,"resident","Suitable","sp1277"
NA,NA,NA,"resident","Suitable","sp1277"
NA,NA,NA,"resident","Suitable","sp1277"
NA,NA,NA,"resident","Suitable","sp1278"
NA,NA,NA,"resident","Suitable","sp1278"
1.6,NA,NA,"resident","Suitable","sp1279"
1.6,NA,NA,"resident","Suitable","sp1280"
3.5,NA,NA,"resident","Suitable","sp1280"
NA,NA,NA,"resident","Suitable","sp1280"
NA,NA,NA,"resident","Suitable","sp1280"
1.6,NA,NA,"resident","Suitable","sp1281"
3.5,NA,NA,"resident","Suitable","sp1282"
NA,NA,NA,"resident","Suitable","sp1282"
3.5,NA,NA,"resident","Suitable","sp1283"
NA,NA,NA,"resident","Suitable","sp1283"
1.6,NA,NA,"resident","Suitable","sp1284"
NA,NA,NA,"resident","Suitable","sp1284"
1.6,NA,NA,"resident","Suitable","sp1285"
1.6,NA,NA,"resident","Suitable","sp1286"
1.6,NA,NA,"resident","Suitable","sp1287"
1.6,NA,NA,"resident","Suitable","sp1288"
NA,NA,NA,"resident","Suitable","sp1288"
2.1,NA,NA,"resident","Suitable","sp1289"
4.7,NA,NA,"resident","Suitable","sp1289"
1.6,NA,NA,"resident","Suitable","sp1290"
2.1,NA,NA,"resident","Suitable","sp1290"
NA,NA,NA,"resident","Suitable","sp1290"
NA,NA,NA,"resident","Suitable","sp1290"
1.6,NA,NA,"resident","Suitable","sp1291"
1.6,NA,NA,"resident","Suitable","sp1292"
3.5,NA,NA,"resident","Suitable","sp1293"
2.1,NA,NA,"resident","Suitable","sp1294"
4.7,NA,NA,"resident","Suitable","sp1294"
1.6,NA,NA,"resident","Suitable","sp1295"
2.1,NA,NA,"resident","Suitable","sp1295"
4.7,NA,NA,"resident","Suitable","sp1295"
1.5,NA,NA,"resident","Suitable","sp1296"
1.6,NA,NA,"resident","Suitable","sp1296"
2.1,NA,NA,"resident","Suitable","sp1296"
NA,NA,NA,"resident","Suitable","sp1296"
1.6,NA,NA,"resident","Suitable","sp1297"
1.6,NA,NA,"resident","Suitable","sp1298"
NA,NA,NA,"resident","Suitable","sp1298"
1.6,NA,NA,"resident","Suitable","sp1299"
2.1,NA,NA,"resident","Suitable","sp1299"
1.6,NA,NA,"resident","Suitable","sp1300"
NA,NA,NA,"resident","Suitable","sp1300"
1.6,NA,NA,"resident","Suitable","sp1301"
2.1,NA,NA,"resident","Suitable","sp1301"
4.7,NA,NA,"resident","Suitable","sp1301"
1.6,NA,NA,"resident","Suitable","sp1302"
3.5,NA,NA,"resident","Suitable","sp1303"
NA,NA,NA,"resident","Suitable","sp1303"
1.6,NA,NA,"resident","Suitable","sp1304"
3.5,NA,NA,"resident","Suitable","sp1304"
NA,NA,NA,"resident","Suitable","sp1304"
1.6,NA,NA,"resident","Suitable","sp1305"
3.5,NA,NA,"resident","Suitable","sp1306"
NA,NA,NA,"resident","Suitable","sp1306"
1.6,NA,NA,"resident","Suitable","sp1307"
1.6,NA,NA,"resident","Suitable","sp1308"
NA,NA,NA,"resident","Suitable","sp1308"
2.1,NA,NA,"resident","Suitable","sp1309"
1.6,NA,NA,"resident","Suitable","sp1310"
3.5,NA,NA,"resident","Suitable","sp1310"
NA,NA,NA,"resident","Suitable","sp1310"
NA,NA,NA,"resident","Suitable","sp1310"
NA,NA,NA,"resident","Suitable","sp1311"
NA,NA,NA,"resident","Suitable","sp1311"
1.6,NA,NA,"resident","Suitable","sp1312"
1.5,NA,NA,"resident","Suitable","sp1313"
1.6,NA,NA,"resident","Suitable","sp1313"
2.1,NA,NA,"resident","Suitable","sp1313"
3.5,NA,NA,"resident","Suitable","sp1313"
NA,NA,NA,"resident","Suitable","sp1313"
NA,NA,NA,"resident","Suitable","sp1313"
NA,NA,NA,"resident","Suitable","sp1313"
NA,NA,NA,"resident","Suitable","sp1313"
NA,NA,NA,"resident","Suitable","sp1313"
1.6,NA,NA,"resident","Suitable","sp1314"
NA,NA,NA,"resident","Suitable","sp1314"
1.5,NA,NA,"resident","Suitable","sp1315"
1.6,NA,NA,"resident","Suitable","sp1315"
2.1,NA,NA,"resident","Suitable","sp1315"
1.6,NA,NA,"resident","Suitable","sp1316"
NA,NA,NA,"resident","Suitable","sp1316"
1.6,NA,NA,"resident","Suitable","sp1317"
4.7,NA,NA,"resident","Suitable","sp1318"
NA,NA,NA,"resident","Suitable","sp1318"
1.6,NA,NA,"resident","Suitable","sp1319"
1.6,NA,NA,"resident","Suitable","sp1320"
2.1,NA,NA,"resident","Suitable","sp1320"
3.5,NA,NA,"resident","Suitable","sp1320"
4.7,NA,NA,"resident","Suitable","sp1320"
NA,NA,NA,"resident","Suitable","sp1320"
1.6,NA,NA,"resident","Suitable","sp1321"
1.6,NA,NA,"resident","Suitable","sp1322"
1.6,NA,NA,"resident","Suitable","sp1323"
1.6,NA,NA,"resident","Suitable","sp1324"
NA,NA,NA,"resident","Suitable","sp1324"
1.6,NA,NA,"resident","Suitable","sp1325"
NA,NA,NA,"resident","Suitable","sp1325"
1.6,NA,NA,"resident","Suitable","sp1326"
NA,NA,NA,"resident","Suitable","sp1326"
1.6,NA,NA,"resident","Suitable","sp1327"
2.1,NA,NA,"resident","Suitable","sp1327"
1.6,NA,NA,"resident","Suitable","sp1328"
2.1,NA,NA,"resident","Suitable","sp1328"
NA,NA,NA,"resident","Suitable","sp1328"
1.6,NA,NA,"resident","Suitable","sp1329"
NA,NA,NA,"resident","Suitable","sp1329"
1.6,NA,NA,"resident","Suitable","sp1330"
2.1,NA,NA,"resident","Suitable","sp1330"
4.7,NA,NA,"resident","Suitable","sp1330"
1.6,NA,NA,"resident","Suitable","sp1331"
3.5,NA,NA,"resident","Suitable","sp1331"
NA,NA,NA,"resident","Suitable","sp1331"
NA,NA,NA,"resident","Suitable","sp1331"
1.6,NA,NA,"resident","Suitable","sp1332"
NA,NA,NA,"resident","Suitable","sp1332"
1.6,NA,NA,"resident","Suitable","sp1333"
3.5,NA,NA,"resident","Suitable","sp1333"
NA,NA,NA,"resident","Suitable","sp1333"
NA,NA,NA,"resident","Suitable","sp1333"
NA,NA,NA,"resident","Suitable","sp1333"
2.1,NA,NA,"resident","Suitable","sp1334"
1.6,NA,NA,"resident","Suitable","sp1335"
2.1,NA,NA,"resident","Suitable","sp1335"
3.5,NA,NA,"resident","Suitable","sp1335"
1.6,NA,NA,"resident","Suitable","sp1336"
2.1,NA,NA,"resident","Suitable","sp1336"
3.5,NA,NA,"resident","Suitable","sp1336"
NA,NA,NA,"resident","Suitable","sp1336"
NA,NA,NA,"resident","Suitable","sp1336"
NA,NA,NA,"resident","Suitable","sp1336"
1.6,NA,NA,"resident","Suitable","sp1337"
NA,NA,NA,"resident","Suitable","sp1337"
NA,NA,NA,"resident","Suitable","sp1337"
NA,NA,NA,"resident","Suitable","sp1337"
3.5,NA,NA,"resident","Suitable","sp1338"
1.6,NA,NA,"resident","Suitable","sp1339"
NA,NA,NA,"resident","Suitable","sp1339"
NA,NA,NA,"resident","Suitable","sp1339"
1.5,NA,NA,"resident","Suitable","sp1340"
1.6,NA,NA,"resident","Suitable","sp1340"
NA,NA,NA,"resident","Suitable","sp1340"
NA,NA,NA,"resident","Suitable","sp1340"
1.6,NA,NA,"resident","Suitable","sp1341"
1.6,NA,NA,"resident","Suitable","sp1342"
3.5,NA,NA,"resident","Suitable","sp1343"
1.6,NA,NA,"resident","Suitable","sp1344"
1.6,NA,NA,"resident","Suitable","sp1345"
1.6,NA,NA,"resident","Suitable","sp1346"
1.6,NA,NA,"resident","Suitable","sp1347"
2.1,NA,NA,"resident","Suitable","sp1348"
1.6,NA,NA,"resident","Suitable","sp1349"
3.5,NA,NA,"resident","Suitable","sp1349"
NA,NA,NA,"resident","Suitable","sp1349"
1.6,NA,NA,"resident","Suitable","sp1350"
NA,NA,NA,"resident","Suitable","sp1350"
1.6,NA,NA,"resident","Suitable","sp1351"
NA,NA,NA,"resident","Suitable","sp1351"
1.6,NA,NA,"resident","Suitable","sp1352"
1.6,NA,NA,"resident","Suitable","sp1353"
3.5,NA,NA,"resident","Suitable","sp1354"
1.6,NA,NA,"resident","Suitable","sp1355"
3.5,NA,NA,"resident","Suitable","sp1356"
1.6,NA,NA,"resident","Suitable","sp1357"
3.5,NA,NA,"resident","Suitable","sp1358"
NA,NA,NA,"resident","Suitable","sp1358"
1.6,NA,NA,"resident","Suitable","sp1359"
1.6,NA,NA,"resident","Suitable","sp1360"
3.5,NA,NA,"resident","Suitable","sp1361"
NA,NA,NA,"resident","Suitable","sp1361"
3.5,NA,NA,"resident","Suitable","sp1362"
1.6,NA,NA,"resident","Suitable","sp1363"
3.5,NA,NA,"resident","Suitable","sp1363"
2.1,NA,NA,"resident","Suitable","sp1364"
NA,NA,NA,"resident","Suitable","sp1364"
1.6,NA,NA,"resident","Suitable","sp1365"
1.6,NA,NA,"resident","Suitable","sp1366"
NA,NA,NA,"resident","Suitable","sp1366"
NA,NA,NA,"resident","Suitable","sp1366"
NA,NA,NA,"resident","Suitable","sp1367"
NA,NA,NA,"resident","Suitable","sp1367"
1.6,NA,NA,"resident","Suitable","sp1368"
NA,NA,NA,"resident","Suitable","sp1369"
NA,NA,NA,"resident","Suitable","sp1369"
NA,NA,NA,"resident","Suitable","sp1369"
1.6,NA,NA,"resident","Suitable","sp1370"
NA,NA,NA,"resident","Suitable","sp1370"
1.6,NA,NA,"resident","Suitable","sp1371"
NA,NA,NA,"resident","Suitable","sp1371"
NA,NA,NA,"resident","Suitable","sp1371"
1.6,NA,NA,"resident","Suitable","sp1372"
NA,NA,NA,"resident","Suitable","sp1372"
NA,NA,NA,"resident","Suitable","sp1372"
1.6,NA,NA,"resident","Suitable","sp1373"
1.6,NA,NA,"resident","Suitable","sp1374"
1.7,NA,NA,"resident","Suitable","sp1374"
NA,NA,NA,"resident","Suitable","sp1374"
NA,NA,NA,"resident","Suitable","sp1374"
NA,NA,NA,"resident","Suitable","sp1374"
NA,NA,NA,"resident","Suitable","sp1374"
1.6,NA,NA,"resident","Suitable","sp1375"
1.6,NA,NA,"resident","Suitable","sp1376"
1.6,NA,NA,"resident","Suitable","sp1377"
1.6,NA,NA,"resident","Suitable","sp1378"
1.6,NA,NA,"resident","Suitable","sp1379"
3.5,NA,NA,"resident","Suitable","sp1379"
NA,NA,NA,"resident","Suitable","sp1379"
4.7,NA,NA,"resident","Suitable","sp1380"
2.1,NA,NA,"resident","Suitable","sp1381"
4.7,NA,NA,"resident","Suitable","sp1381"
1.6,NA,NA,"resident","Suitable","sp1382"
1.6,NA,NA,"resident","Suitable","sp1383"
2.1,NA,NA,"resident","Suitable","sp1383"
NA,NA,NA,"resident","Suitable","sp1383"
1.6,NA,NA,"resident","Suitable","sp1384"
NA,NA,NA,"resident","Suitable","sp1384"
NA,NA,NA,"resident","Suitable","sp1384"
1.6,NA,NA,"resident","Suitable","sp1385"
NA,NA,NA,"resident","Suitable","sp1385"
NA,NA,NA,"resident","Suitable","sp1385"
1.6,NA,NA,"resident","Suitable","sp1386"
2.1,NA,NA,"resident","Suitable","sp1386"
NA,NA,NA,"resident","Suitable","sp1386"
1.6,NA,NA,"resident","Suitable","sp1387"
2.1,NA,NA,"resident","Suitable","sp1388"
NA,NA,NA,"resident","Suitable","sp1388"
1.6,NA,NA,"resident","Suitable","sp1389"
1.6,NA,NA,"resident","Suitable","sp1390"
1.6,NA,NA,"resident","Suitable","sp1391"
2.1,NA,NA,"resident","Suitable","sp1391"
1.6,NA,NA,"resident","Suitable","sp1392"
2.1,NA,NA,"resident","Suitable","sp1392"
1.6,NA,NA,"resident","Suitable","sp1393"
1.6,NA,NA,"resident","Suitable","sp1394"
1.6,NA,NA,"resident","Suitable","sp1395"
2.1,NA,NA,"resident","Suitable","sp1395"
3.5,NA,NA,"resident","Suitable","sp1395"
4.7,NA,NA,"resident","Suitable","sp1395"
1.6,NA,NA,"resident","Suitable","sp1396"
2.1,NA,NA,"resident","Suitable","sp1396"
2.1,NA,NA,"resident","Suitable","sp1397"
4.7,NA,NA,"resident","Suitable","sp1398"
1.6,NA,NA,"resident","Suitable","sp1399"
2.1,NA,NA,"resident","Suitable","sp1399"
3.5,NA,NA,"resident","Suitable","sp1399"
4.7,NA,NA,"resident","Suitable","sp1399"
1.6,NA,NA,"resident","Suitable","sp1400"
2.1,NA,NA,"resident","Suitable","sp1400"
4.7,NA,NA,"resident","Suitable","sp1400"
NA,NA,NA,"resident","Suitable","sp1400"
2.1,NA,NA,"resident","Suitable","sp1401"
4.7,NA,NA,"resident","Suitable","sp1401"
1.6,NA,NA,"resident","Suitable","sp1402"
2.1,NA,NA,"resident","Suitable","sp1402"
4.7,NA,NA,"resident","Suitable","sp1402"
NA,NA,NA,"resident","Suitable","sp1402"
2.1,NA,NA,"resident","Suitable","sp1403"
4.7,NA,NA,"resident","Suitable","sp1403"
2.1,NA,NA,"resident","Suitable","sp1404"
4.7,NA,NA,"resident","Suitable","sp1404"
1.6,NA,NA,"resident","Suitable","sp1405"
2.1,NA,NA,"resident","Suitable","sp1405"
3.5,NA,NA,"resident","Suitable","sp1405"
4.7,NA,NA,"resident","Suitable","sp1405"
4.7,NA,NA,"resident","Suitable","sp1406"
2.1,NA,NA,"resident","Suitable","sp1407"
4.7,NA,NA,"resident","Suitable","sp1407"
3.5,NA,NA,"resident","Suitable","sp1408"
4.7,NA,NA,"resident","Suitable","sp1408"
NA,NA,NA,"resident","Suitable","sp1408"
4.7,NA,NA,"resident","Suitable","sp1409"
4.7,NA,NA,"resident","Suitable","sp1410"
4.7,NA,NA,"resident","Suitable","sp1411"
1.6,NA,NA,"resident","Suitable","sp1412"
1.6,NA,NA,"resident","Suitable","sp1413"
2.1,NA,NA,"resident","Suitable","sp1413"
1.6,NA,NA,"resident","Suitable","sp1414"
1.6,NA,NA,"resident","Suitable","sp1415"
2.1,NA,NA,"resident","Suitable","sp1416"
2.1,NA,NA,"resident","Suitable","sp1417"
1.6,NA,NA,"resident","Suitable","sp1418"
1.6,NA,NA,"resident","Suitable","sp1419"
2.1,NA,NA,"resident","Suitable","sp1420"
4.7,NA,NA,"resident","Suitable","sp1420"
1.6,NA,NA,"resident","Suitable","sp1421"
2.1,NA,NA,"resident","Suitable","sp1422"
4.7,NA,NA,"resident","Suitable","sp1423"
1.6,NA,NA,"resident","Suitable","sp1424"
1.6,NA,NA,"resident","Suitable","sp1425"
1.6,NA,NA,"resident","Suitable","sp1426"
NA,NA,NA,"resident","Suitable","sp1426"
1.6,NA,NA,"resident","Suitable","sp1427"
NA,NA,NA,"resident","Suitable","sp1427"
1.6,NA,NA,"resident","Suitable","sp1428"
1.7,NA,NA,"resident","Suitable","sp1428"
3.5,NA,NA,"resident","Suitable","sp1428"
NA,NA,NA,"resident","Suitable","sp1428"
NA,NA,NA,"resident","Suitable","sp1428"
2.1,NA,NA,"resident","Suitable","sp1429"
1.6,NA,NA,"resident","Suitable","sp1430"
1.6,NA,NA,"resident","Suitable","sp1431"
3.5,NA,NA,"resident","Suitable","sp1431"
NA,NA,NA,"resident","Suitable","sp1431"
1.5,NA,NA,"resident","Suitable","sp1432"
2.1,NA,NA,"resident","Suitable","sp1432"
3.5,NA,NA,"resident","Suitable","sp1432"
1.6,NA,NA,"resident","Suitable","sp1433"
NA,NA,NA,"resident","Suitable","sp1433"
NA,NA,NA,"resident","Suitable","sp1433"
1.6,NA,NA,"resident","Suitable","sp1434"
1.6,NA,NA,"resident","Suitable","sp1435"
3.5,NA,NA,"resident","Suitable","sp1435"
NA,NA,NA,"resident","Suitable","sp1435"
NA,NA,NA,"resident","Suitable","sp1435"
1.6,NA,NA,"resident","Suitable","sp1436"
1.6,NA,NA,"resident","Suitable","sp1437"
3.5,NA,NA,"resident","Suitable","sp1437"
1.6,NA,NA,"resident","Suitable","sp1438"
2.1,NA,NA,"resident","Suitable","sp1438"
NA,NA,NA,"resident","Suitable","sp1438"
NA,NA,NA,"resident","Suitable","sp1438"
1.6,NA,NA,"resident","Suitable","sp1439"
3.5,NA,NA,"resident","Suitable","sp1439"
NA,NA,NA,"resident","Suitable","sp1439"
1.5,NA,NA,"resident","Suitable","sp1440"
1.6,NA,NA,"resident","Suitable","sp1440"
2.1,NA,NA,"resident","Suitable","sp1440"
3.5,NA,NA,"resident","Suitable","sp1440"
2.1,NA,NA,"resident","Suitable","sp1441"
3.5,NA,NA,"resident","Suitable","sp1441"
4.7,NA,NA,"resident","Suitable","sp1441"
1.6,NA,NA,"resident","Suitable","sp1442"
2.1,NA,NA,"resident","Suitable","sp1442"
2.1,NA,NA,"resident","Suitable","sp1443"
NA,NA,NA,"resident","Suitable","sp1443"
2.1,NA,NA,"resident","Suitable","sp1444"
4.7,NA,NA,"resident","Suitable","sp1444"
1.6,NA,NA,"resident","Suitable","sp1445"
1.6,NA,NA,"resident","Suitable","sp1446"
2.1,NA,NA,"resident","Suitable","sp1446"
NA,NA,NA,"resident","Suitable","sp1446"
1.6,NA,NA,"resident","Suitable","sp1447"
3.5,NA,NA,"resident","Suitable","sp1448"
NA,NA,NA,"resident","Suitable","sp1448"
1.6,NA,NA,"resident","Suitable","sp1449"
NA,NA,NA,"resident","Suitable","sp1449"
3.5,NA,NA,"resident","Suitable","sp1450"
NA,NA,NA,"resident","Suitable","sp1450"
1.6,NA,NA,"resident","Suitable","sp1451"
1.6,NA,NA,"resident","Suitable","sp1452"
2.1,NA,NA,"resident","Suitable","sp1452"
4.7,NA,NA,"resident","Suitable","sp1452"
1.6,NA,NA,"resident","Suitable","sp1453"
NA,NA,NA,"resident","Suitable","sp1453"
1.6,NA,NA,"resident","Suitable","sp1454"
2.1,NA,NA,"resident","Suitable","sp1454"
4.7,NA,NA,"resident","Suitable","sp1454"
1.5,NA,NA,"resident","Suitable","sp1455"
1.6,NA,NA,"resident","Suitable","sp1455"
2.1,NA,NA,"resident","Suitable","sp1455"
NA,NA,NA,"resident","Suitable","sp1455"
1.6,NA,NA,"resident","Suitable","sp1456"
3.5,NA,NA,"resident","Suitable","sp1456"
3.5,NA,NA,"resident","Suitable","sp1457"
NA,NA,NA,"resident","Suitable","sp1457"
1.6,NA,NA,"resident","Suitable","sp1458"
NA,NA,NA,"resident","Suitable","sp1458"
1.6,NA,NA,"resident","Suitable","sp1459"
3.5,NA,NA,"resident","Suitable","sp1460"
NA,NA,NA,"resident","Suitable","sp1460"
1.6,NA,NA,"resident","Suitable","sp1461"
2.1,NA,NA,"resident","Suitable","sp1461"
4.7,NA,NA,"resident","Suitable","sp1461"
NA,NA,NA,"resident","Suitable","sp1461"
1.6,NA,NA,"resident","Suitable","sp1462"
3.5,NA,NA,"resident","Suitable","sp1463"
NA,NA,NA,"resident","Suitable","sp1463"
3.5,NA,NA,"resident","Suitable","sp1464"
2.1,NA,NA,"resident","Suitable","sp1465"
3.5,NA,NA,"resident","Suitable","sp1465"
3.5,NA,NA,"resident","Suitable","sp1466"
1.5,NA,NA,"resident","Suitable","sp1467"
1.6,NA,NA,"resident","Suitable","sp1467"
2.1,NA,NA,"resident","Suitable","sp1467"
NA,NA,NA,"resident","Suitable","sp1467"
1.6,NA,NA,"resident","Suitable","sp1468"
NA,NA,NA,"resident","Suitable","sp1468"
1.6,NA,NA,"resident","Suitable","sp1469"
1.5,NA,NA,"resident","Suitable","sp1470"
1.6,NA,NA,"resident","Suitable","sp1470"
2.1,NA,NA,"resident","Suitable","sp1470"
1.6,NA,NA,"resident","Suitable","sp1471"
3.5,NA,NA,"resident","Suitable","sp1472"
NA,NA,NA,"resident","Suitable","sp1472"
1.6,NA,NA,"resident","Suitable","sp1473"
1.6,NA,NA,"resident","Suitable","sp1474"
2.1,NA,NA,"resident","Suitable","sp1474"
4.7,NA,NA,"resident","Suitable","sp1474"
NA,NA,NA,"resident","Suitable","sp1474"
NA,NA,NA,"resident","Suitable","sp1474"
NA,NA,NA,"resident","Suitable","sp1474"
1.6,NA,NA,"resident","Suitable","sp1475"
3.5,NA,NA,"resident","Suitable","sp1475"
NA,NA,NA,"resident","Suitable","sp1475"
1.6,NA,NA,"resident","Suitable","sp1476"
NA,NA,NA,"resident","Suitable","sp1476"
1.6,NA,NA,"resident","Suitable","sp1477"
NA,NA,NA,"resident","Suitable","sp1477"
3.5,NA,NA,"resident","Suitable","sp1478"
1.6,NA,NA,"resident","Suitable","sp1479"
3.5,NA,NA,"resident","Suitable","sp1479"
NA,NA,NA,"resident","Suitable","sp1479"
1.6,NA,NA,"resident","Suitable","sp1480"
2.1,NA,NA,"resident","Suitable","sp1480"
NA,NA,NA,"resident","Suitable","sp1480"
1.6,NA,NA,"resident","Suitable","sp1481"
1.6,NA,NA,"resident","Suitable","sp1482"
NA,NA,NA,"resident","Suitable","sp1482"
3.5,NA,NA,"resident","Suitable","sp1483"
1.6,NA,NA,"resident","Suitable","sp1484"
1.7,NA,NA,"resident","Suitable","sp1484"
3.5,NA,NA,"resident","Suitable","sp1484"
NA,NA,NA,"resident","Suitable","sp1484"
1.6,NA,NA,"resident","Suitable","sp1485"
3.5,NA,NA,"resident","Suitable","sp1485"
1.5,NA,NA,"resident","Suitable","sp1486"
1.6,NA,NA,"resident","Suitable","sp1486"
2.1,NA,NA,"resident","Suitable","sp1486"
1.5,NA,NA,"resident","Suitable","sp1487"
1.6,NA,NA,"resident","Suitable","sp1487"
1.5,NA,NA,"resident","Suitable","sp1488"
1.6,NA,NA,"resident","Suitable","sp1488"
3.5,NA,NA,"resident","Suitable","sp1488"
1.5,NA,NA,"resident","Suitable","sp1489"
1.6,NA,NA,"resident","Suitable","sp1489"
2.1,NA,NA,"resident","Suitable","sp1489"
4.7,NA,NA,"resident","Suitable","sp1489"
NA,NA,NA,"resident","Suitable","sp1489"
1.6,NA,NA,"resident","Suitable","sp1490"
3.5,NA,NA,"resident","Suitable","sp1490"
NA,NA,NA,"resident","Suitable","sp1490"
NA,NA,NA,"resident","Suitable","sp1490"
2.1,NA,NA,"resident","Suitable","sp1491"
NA,NA,NA,"resident","Suitable","sp1491"
1.6,NA,NA,"resident","Suitable","sp1492"
1.7,NA,NA,"resident","Suitable","sp1492"
2.1,NA,NA,"resident","Suitable","sp1492"
3.5,NA,NA,"resident","Suitable","sp1492"
NA,NA,NA,"resident","Suitable","sp1492"
1.6,NA,NA,"resident","Suitable","sp1493"
1.7,NA,NA,"resident","Suitable","sp1493"
2.1,NA,NA,"resident","Suitable","sp1493"
3.5,NA,NA,"resident","Suitable","sp1493"
4.7,NA,NA,"resident","Suitable","sp1493"
NA,NA,NA,"resident","Suitable","sp1493"
2.1,NA,NA,"resident","Suitable","sp1494"
3.5,NA,NA,"resident","Suitable","sp1494"
3.5,NA,NA,"resident","Suitable","sp1495"
NA,NA,NA,"resident","Suitable","sp1495"
NA,NA,NA,"resident","Suitable","sp1495"
1.6,NA,NA,"resident","Suitable","sp1496"
1.6,NA,NA,"resident","Suitable","sp1497"
3.5,NA,NA,"resident","Suitable","sp1497"
1.6,NA,NA,"resident","Suitable","sp1498"
3.5,NA,NA,"resident","Suitable","sp1499"
1.6,NA,NA,"resident","Suitable","sp1500"
2.1,NA,NA,"resident","Suitable","sp1500"
NA,NA,NA,"resident","Suitable","sp1500"
1.6,NA,NA,"resident","Suitable","sp1501"
NA,NA,NA,"resident","Suitable","sp1501"
1.5,NA,NA,"resident","Suitable","sp1502"
1.6,NA,NA,"resident","Suitable","sp1502"
2.1,NA,NA,"resident","Suitable","sp1502"
