order,code,description,threat,definition,examples,exposition
164,100.39,OLD 6.2 Pollution (affecting habitat and/or species)->Land pollution,no,,,
165,100.4,OLD 1.1.9 Habitat Loss/Degradation (human induced)->Agriculture->Unknown,no,,,
166,100.4,OLD 6.2.4 Pollution (affecting habitat and/or species)->Land pollution->Other non-agricultural,no,,,
167,100.41,OLD 6.2.6 Pollution (affecting habitat and/or species)->Land pollution->Other,no,,,
168,100.42,OLD 6.2.7 Pollution (affecting habitat and/or species)->Land pollution->Unknown,no,,,
169,100.43,OLD 6.3 Pollution (affecting habitat and/or species)->Water pollution,no,,,
170,100.44,OLD 6.3.4 Pollution (affecting habitat and/or species)->Water pollution->Other non-agricultural,no,,,
171,100.45,OLD 6.3.11 Pollution (affecting habitat and/or species)->Water pollution->Other,no,,,
172,100.46,OLD 6.3.12 Pollution (affecting habitat and/or species)->Water pollution->Unknown,no,,,
173,100.47,OLD 6.4 Pollution (affecting habitat and/or species)->Other,no,,,
174,100.48,OLD 6.5 Pollution (affecting habitat and/or species)->Unknown,no,,,
175,100.49,OLD 7 Natural disasters,no,,,
176,100.5,OLD 1.3 Habitat Loss/Degradation (human induced)->Extraction,no,,,
177,100.5,OLD 7.7 Natural disasters->Other,no,,,
178,100.51,OLD 7.8 Natural disasters->Unknown,no,,,
179,100.52,OLD 10 Human disturbance,no,,,
180,100.53,OLD 10.4 Human disturbance->Transport,no,,,
181,100.54,OLD 11 Other,no,,,
182,100.55,OLD 12 Unknown,no,,,
183,100.6,OLD 1.3.7 Habitat Loss/Degradation (human induced)->Extraction->Other,no,,,
184,100.7,OLD 1.3.8 Habitat Loss/Degradation (human induced)->Extraction->Unknown,no,,,
185,100.8,OLD 1.4 Habitat Loss/Degradation (human induced)->Infrastructure development,no,,,
186,100.9,OLD 1.4.4 Habitat Loss->Infrastructure->Transport - land/air,no,,,
187,101.1,OLD 3.1 Harvesting (hunting/gathering)->Food,no,,,
188,101.1,OLD 3.3.1 Harvesting (hunting/gathering)->Fuel->Subsistence use/local trade,no,,,
189,101.11,OLD 3.3.2 Harvesting (hunting/gathering)->Fuel->Sub-national/national trade,no,,,
190,101.12,OLD 3.3.3 Harvesting (hunting/gathering)->Fuel->Regional/international trade,no,,,
191,101.13,OLD 3.4 Harvesting (hunting/gathering)->Materials,no,,,
192,101.14,OLD 3.4.1 Harvesting (hunting/gathering)->Materials->Subsistence use/local trade,no,,,
193,101.15,OLD 3.4.2 Harvesting (hunting/gathering)->Materials->Sub-national/national trade,no,,,
194,101.16,OLD 3.4.3 Harvesting (hunting/gathering)->Materials->Regional/international trade,no,,,
195,101.17,OLD 3.5 Harvesting (hunting/gathering)->Cultural/scientific/leisure activities,no,,,
196,101.18,OLD 3.5.1 Harvesting (hunting/gathering)->Cultural/scientific/leisure activities->Subsistence use/local trade,no,,,
197,101.19,OLD 3.5.2 Harvesting (hunting/gathering)->Cultural/scientific/leisure activities->Sub-national/national trade,no,,,
198,101.2,OLD 3.1.1 Harvesting (hunting/gathering)->Food->Subsistence use/local trade,no,,,
199,101.2,OLD 3.5.3 Harvesting (hunting/gathering)->Cultural/scientific/leisure activities->Regional/international trade,no,,,
200,101.21,OLD 3.6 Harvesting (hunting/gathering)->Other,no,,,
201,101.22,OLD 3.7 Harvesting (hunting/gathering)->Unknown,no,,,
202,101.3,OLD 3.1.2 Harvesting (hunting/gathering)->Food->Sub-national/national trade,no,,,
203,101.3,OLD 9 Intrinsic factors,no,,,
204,101.31,OLD 9.1 Intrinsic factors->Limited dispersal,no,,,
205,101.32,OLD 9.2 Intrinsic factors->Poor recruitment/reproduction/regeneration,no,,,
206,101.33,OLD 9.3 Intrinsic factors->High juvenile mortality,no,,,
207,101.34,OLD 9.4 Intrinsic factors->Inbreeding,no,,,
208,101.35,OLD 9.5 Intrinsic factors->Low densities,no,,,
209,101.36,OLD 9.6 Intrinsic factors->Skewed sex ratios,no,,,
210,101.37,OLD 9.7 Intrinsic factors->Slow growth rates,no,,,
211,101.38,OLD 9.8 Intrinsic factors->Population fluctuations,no,,,
212,101.39,OLD 9.9 Intrinsic factors->Restricted range,no,,,
213,101.4,OLD 3.1.3 Harvesting (hunting/gathering)->Food->Regional/international trade,no,,,
214,101.4,OLD 9.10 Intrinsic factors->Other,no,,,
215,101.41,OLD 9.11 Intrinsic factors->Unknown,no,,,
216,101.5,OLD 3.2 Harvesting (hunting/gathering)->Medicine,no,,,
217,101.6,OLD 3.2.1 Harvesting (hunting/gathering)->Medicine->Subsistence use/local trade,no,,,
218,101.7,OLD 3.2.2 Harvesting (hunting/gathering)->Medicine->Sub-national/national trade,no,,,
219,101.8,OLD 3.2.3 Harvesting (hunting/gathering)->Medicine->Regional/international trade,no,,,
220,101.9,OLD 3.3 Harvesting (hunting/gathering)->Fuel,no,,,
